Thread,Rows,Work_ms,Init_Mode,Control_ms
0,338,4.49685,parallel-static,4.5248
1,336,4.49955,parallel-static,4.5248
2,298,4.50031,parallel-static,4.5248
3,293,4.50492,parallel-static,4.5248
4,297,4.50731,parallel-static,4.5248
5,336,4.4963,parallel-static,4.5248
6,297,4.49738,parallel-static,4.5248
7,294,4.49638,parallel-static,4.5248
8,293,4.49644,parallel-static,4.5248
9,296,4.49661,parallel-static,4.5248
10,292,4.49725,parallel-static,4.5248
11,292,4.50355,parallel-static,4.5248
12,290,4.50059,parallel-static,4.5248
13,292,4.49605,parallel-static,4.5248
14,293,4.49579,parallel-static,4.5248
15,294,4.49559,parallel-static,4.5248
16,290,4.50015,parallel-static,4.5248
17,293,4.49592,parallel-static,4.5248
18,293,4.49779,parallel-static,4.5248
19,293,4.49554,parallel-static,4.5248
