Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Repeat,Elapsed_ms,Hash,Reference_Hash,Exact,Differing_Bytes,Max_Abs_Error,Compiler,Flags,Hostname
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,auto-avx2,3,10.133141,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,auto-avx2,3,39.076398,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,off-avx2,4,9.763395,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,off-avx2,4,38.706648,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,auto-avx2,4,9.816645,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,auto-avx2,4,38.508160,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,omp-avx2,4,9.726732,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,omp-avx2,4,64.389000,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,auto-avx2,5,9.927752,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,auto-avx2,5,38.679112,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=0 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,reset_average,6000,6000,1,static,omp-avx2,5,9.746555,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
6000x6000.png,Quantize,quantize_lut_profile,lookup_average,6000,6000,1,static,omp-avx2,5,64.437088,76c70a40b7efa3,76c70a40b7efa3,yes,0,0,12.2.0,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -g -DOMP_EXPLICIT_SIMD=1 -march=haswell,hype5
