Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.36307 ms; lookup=4.50228 ms; lookup medio=4.50228 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.40733 ms; lookup=3.88787 ms; lookup medio=3.88787 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.40502 ms; lookup=4.62614 ms; lookup medio=4.62614 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.40991 ms; lookup=3.80015 ms; lookup medio=3.80015 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.40868 ms; lookup=4.52522 ms; lookup medio=4.52522 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.56277 ms; lookup=3.77483 ms; lookup medio=3.77483 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.61906 ms; lookup=3.86828 ms; lookup medio=3.86828 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.43241 ms; lookup=3.79859 ms; lookup medio=3.79859 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.41375 ms; lookup=3.86591 ms; lookup medio=3.86591 ms
Quantize lookup: 1 iteracoes; min=0; max=255; restauracao=9.41603 ms; lookup=4.84948 ms; lookup medio=4.84948 ms
