Operation,"dynamic,1","dynamic,16"
Adjust_Brightness,1.1276235057964248,1.1021531057736644
Adjust_Contrast,1.156257607445673,1.1401640627222478
Equalize_Histogram,1.0684066939163852,1.069648327764828
Flip_Horizontal,1.1750817693131377,1.090576433692473
Flip_Vertical,0.9475000830455623,1.0789333636109366
Gaussian_11x11,0.992955588051465,0.962432259687229
Gaussian_3x3,0.919703710783747,1.0200502628055181
Gaussian_5x5,0.9790596307399307,0.996205705791413
Gaussian_7x7,1.0067487890823186,0.97677892986202
Gaussian_9x9,0.9937640160707909,0.9694736736669105
Grayscale,1.0768843542101083,1.0581109915155495
Negative,1.088663684152596,1.1293603975698003
Quantize,1.1232810299971305,1.1168337935807349
Rotate_CCW,0.5850889907334537,0.9596703729419794
Rotate_CW,0.5961965034214138,0.9632646074454297
Zoom_In,0.35004944767136376,0.8761455760432827
Zoom_Out,0.8785767373532446,0.9563675586511373
