Image,Operation,Schedule,T20_ms,T40_ms,Speedup_20_over_40
control_half_noise_6000x6000.png,Adaptive_Median,static,822.731198,612.675983,1.3428487827635314
control_half_noise_6000x6000.png,Adaptive_Median,"dynamic,16",623.546073,598.190948,1.042386340155719
6000x6000.png,Gaussian_11x11,static,597.948082,551.845794,1.0835419758585676
6000x6000.png,Gaussian_11x11,"dynamic,16",564.890811,570.54579,0.9900884747567763
6000x6000.png,Grayscale,static,9.947746,13.316369,0.7470314167473131
6000x6000.png,Grayscale,"dynamic,16",10.023881,11.164832,0.897808493670124
