Campaign,Source_directory,Summary_groups,Samples_per_group,Hostnames,Operations,Images
regular,resultados_pcad_hype_822669,1428,5,hype2,17,2
adaptive,resultados_pcad_hype_822670,288,5,hype2,1,8
smt,resultados_pcad_hype_822671,12,5,hype5,3,2
