Image,Operation,Build,Component,Median_ms,Min_ms,Max_ms
4000x3000.png,Grayscale,omp-avx2,SoA ingênuo: End_to_End,7.450141,6.914943,10.159293
4000x3000.png,Grayscale,omp-avx2,SoA ingênuo: Kernel,2.181083,2.16692,4.209324
4000x3000.png,Grayscale,omp-avx2,SoA ingênuo: SoA_to_AoS,2.994827,2.447214,3.617142
6000x6000.png,Gaussian_11x11,off,AoS direto: Kernel,533.940138,531.452636,536.570003
6000x6000.png,Gaussian_11x11,off,SoA ingênuo: AoS_to_SoA,5.947544,5.903099,5.99627
6000x6000.png,Gaussian_11x11,off,SoA ingênuo: End_to_End,545.840027,544.222608,546.141711
6000x6000.png,Gaussian_11x11,off,SoA ingênuo: Kernel,534.696283,532.997605,535.054545
6000x6000.png,Gaussian_11x11,off,SoA ingênuo: SoA_to_AoS,5.228733,5.024599,5.542329
6000x6000.png,Gaussian_11x11,off,SoA separável: AoS_to_SoA,5.947544,5.903099,5.99627
6000x6000.png,Gaussian_11x11,off,SoA separável: End_to_End,55.028377,52.797179,90.066734
6000x6000.png,Gaussian_11x11,off,SoA separável: Horizontal_Passes,19.509561,19.168562,33.618291
6000x6000.png,Gaussian_11x11,off,SoA separável: Kernel,45.40945,43.197417,78.984102
6000x6000.png,Gaussian_11x11,off,SoA separável: SoA_to_AoS,3.796331,3.655256,5.135088
6000x6000.png,Gaussian_11x11,off,SoA separável: Vertical_Passes,25.870326,24.028855,45.365811
6000x6000.png,Gaussian_11x11,off-avx2,AoS direto: Kernel,531.406282,529.888069,636.604267
6000x6000.png,Gaussian_11x11,off-avx2,SoA ingênuo: AoS_to_SoA,5.966176,5.762268,9.407863
6000x6000.png,Gaussian_11x11,off-avx2,SoA ingênuo: End_to_End,545.334325,544.155414,574.279562
6000x6000.png,Gaussian_11x11,off-avx2,SoA ingênuo: Kernel,534.084359,533.047782,559.800823
6000x6000.png,Gaussian_11x11,off-avx2,SoA ingênuo: SoA_to_AoS,5.141456,5.070876,5.412039
6000x6000.png,Gaussian_11x11,off-avx2,SoA separável: AoS_to_SoA,5.966176,5.762268,9.407863
6000x6000.png,Gaussian_11x11,off-avx2,SoA separável: End_to_End,54.485849,53.321922,58.121323
6000x6000.png,Gaussian_11x11,off-avx2,SoA separável: Horizontal_Passes,19.151781,18.771223,19.508331
6000x6000.png,Gaussian_11x11,off-avx2,SoA separável: Kernel,44.812047,43.866473,45.030799
6000x6000.png,Gaussian_11x11,off-avx2,SoA separável: SoA_to_AoS,3.683329,3.649526,3.781058
6000x6000.png,Gaussian_11x11,off-avx2,SoA separável: Vertical_Passes,25.866511,24.358142,25.879018
6000x6000.png,Gaussian_11x11,omp,AoS direto: Kernel,532.419665,531.471969,568.211639
6000x6000.png,Gaussian_11x11,omp,SoA ingênuo: AoS_to_SoA,5.9794,5.876385,6.031702
6000x6000.png,Gaussian_11x11,omp,SoA ingênuo: End_to_End,1097.158527,1092.714959,1099.542256
6000x6000.png,Gaussian_11x11,omp,SoA ingênuo: Kernel,1085.751183,1081.789136,1087.132378
6000x6000.png,Gaussian_11x11,omp,SoA ingênuo: SoA_to_AoS,5.394383,5.027942,6.587852
6000x6000.png,Gaussian_11x11,omp,SoA separável: AoS_to_SoA,5.9794,5.876385,6.031702
6000x6000.png,Gaussian_11x11,omp,SoA separável: End_to_End,45.650285,45.389428,47.2708
6000x6000.png,Gaussian_11x11,omp,SoA separável: Horizontal_Passes,18.658404,18.299492,19.630262
6000x6000.png,Gaussian_11x11,omp,SoA separável: Kernel,35.822841,35.51141,37.526347
6000x6000.png,Gaussian_11x11,omp,SoA separável: SoA_to_AoS,3.80558,3.643818,3.846316
6000x6000.png,Gaussian_11x11,omp,SoA separável: Vertical_Passes,17.292654,16.986061,17.896085
6000x6000.png,Gaussian_11x11,omp-avx2,AoS direto: Kernel,531.26661,530.318307,755.235368
6000x6000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: AoS_to_SoA,6.036794,5.971728,6.483491
6000x6000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: End_to_End,1084.829847,1077.429276,1092.544656
6000x6000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: Kernel,1072.850929,1065.885956,1081.506119
6000x6000.png,Gaussian_11x11,omp-avx2,SoA ingênuo: SoA_to_AoS,5.495427,4.930197,5.545371
6000x6000.png,Gaussian_11x11,omp-avx2,SoA separável: AoS_to_SoA,6.036794,5.971728,6.483491
