Image,Operation,Layout,Threads,Scalar_build,SIMD_build,Scalar_median_ms,Scalar_min_ms,Scalar_max_ms,SIMD_median_ms,SIMD_min_ms,SIMD_max_ms,Speedup_scalar_over_simd
6000x6000.png,Gaussian_11x11,SoA_Naive,2,off,omp,4615.999649,4614.855107,4616.403069,9306.167469,9299.593071,9354.191857,0.49601510658135783
6000x6000.png,Gaussian_11x11,SoA_Naive,4,off,omp,2339.797359,2325.55166,2471.178075,4717.896552,4712.489758,4787.197932,0.4959407933622704
6000x6000.png,Gaussian_11x11,SoA_Naive,8,off,omp,1289.179002,1287.541921,1293.049426,2616.151335,2610.052685,2651.517674,0.4927769218671748
6000x6000.png,Gaussian_11x11,SoA_Naive,12,off,omp,889.221389,888.545077,894.322015,1807.213252,1789.013341,1808.940797,0.49204009986974134
6000x6000.png,Gaussian_11x11,SoA_Naive,16,off,omp,668.143309,666.209465,668.36452,1357.741707,1341.574789,1369.0203,0.492098979912974
6000x6000.png,Gaussian_11x11,SoA_Naive,20,off,omp,534.696283,532.997605,535.054545,1085.751183,1081.789136,1087.132378,0.49246668239642155
6000x6000.png,Gaussian_11x11,SoA_Separable,1,off,omp,690.603178,690.392419,690.789386,407.740581,406.998185,408.152716,1.6937317750081882
6000x6000.png,Gaussian_11x11,SoA_Separable,2,off,omp,349.066307,346.11212,356.138989,211.16306,204.680265,213.313384,1.6530652046811596
6000x6000.png,Gaussian_11x11,SoA_Separable,4,off,omp,181.087875,177.68342,190.21201,114.28218,105.64124,116.645469,1.5845679090125862
6000x6000.png,Gaussian_11x11,SoA_Separable,8,off,omp,100.599011,98.568792,101.783985,64.736875,63.868475,64.957375,1.553967672983906
6000x6000.png,Gaussian_11x11,SoA_Separable,12,off,omp,69.913302,68.710063,70.624273,46.159508,45.180326,46.58989,1.5146024086738532
6000x6000.png,Gaussian_11x11,SoA_Separable,16,off,omp,53.792154,50.804503,82.287555,38.190062,37.687941,38.943074,1.4085380118000332
6000x6000.png,Gaussian_11x11,SoA_Separable,20,off,omp,45.40945,43.197417,78.984102,35.822841,35.51141,37.526347,1.2676116335943317
6000x6000.png,Grayscale,AoS,1,off,omp,138.541899,138.415909,138.606928,144.298834,143.91509,144.703252,0.9601040781798694
6000x6000.png,Grayscale,AoS,2,off,omp,71.347584,69.799288,72.634849,73.739288,72.839339,75.035975,0.9675654042116598
6000x6000.png,Grayscale,AoS,4,off,omp,37.576596,36.438074,37.718475,38.4192,37.299368,38.933908,0.9780681534232885
6000x6000.png,Grayscale,AoS,8,off,omp,21.108464,21.074282,21.240766,21.944382,21.759896,22.164359,0.9619074257821433
6000x6000.png,Grayscale,AoS,12,off,omp,14.845203,14.796499,15.023012,15.505375,15.351384,15.596637,0.9574230226614964
6000x6000.png,Grayscale,AoS,16,off,omp,11.630979,11.447643,11.736744,11.946689,11.736981,11.983902,0.9735734310987756
6000x6000.png,Grayscale,AoS,20,off,omp,9.607823,9.588787,14.731615,9.965455,9.908726,10.044427,0.9641128277635089
6000x6000.png,Grayscale,SoA,1,off,omp,115.587496,115.535697,116.034168,115.60041,115.434114,115.688335,0.9998882875934437
6000x6000.png,Grayscale,SoA,2,off,omp,58.829296,57.638079,59.604745,59.119306,58.369647,62.268519,0.9950944958656991
6000x6000.png,Grayscale,SoA,4,off,omp,30.281419,29.632097,30.708898,30.653708,30.285803,34.664594,0.9878550092536929
6000x6000.png,Grayscale,SoA,8,off,omp,16.692419,16.611748,17.270085,16.725581,16.662948,16.902813,0.9980172886071942
6000x6000.png,Grayscale,SoA,12,off,omp,11.484187,11.244483,11.702262,11.4846,11.244281,11.496872,0.999964038799784
6000x6000.png,Grayscale,SoA,16,off,omp,8.661622,8.615868,8.666087,8.655398,8.58343,8.735137,1.0007190888275732
6000x6000.png,Grayscale,SoA,20,off,omp,7.006073,6.912936,12.125909,6.87733,6.757076,6.92227,1.0187199101977076
4000x3000.png,Gaussian_11x11,AoS_Naive,1,off-avx2,omp-avx2,3054.330441,3054.081777,3055.613162,3054.912861,3053.934223,3064.18587,0.9998093497174878
4000x3000.png,Gaussian_11x11,AoS_Naive,2,off-avx2,omp-avx2,1530.311506,1528.702123,1534.485583,1528.698279,1528.399029,1529.415658,1.001055294574581
4000x3000.png,Gaussian_11x11,AoS_Naive,4,off-avx2,omp-avx2,771.214539,764.280778,774.347843,779.374407,767.733521,817.27633,0.989530233573605
4000x3000.png,Gaussian_11x11,AoS_Naive,8,off-avx2,omp-avx2,426.23306,424.706133,427.726746,427.682968,424.422624,427.982786,0.996609853306106
4000x3000.png,Gaussian_11x11,AoS_Naive,12,off-avx2,omp-avx2,293.998343,293.760659,294.540747,294.291375,294.244683,294.41147,0.9990042793472964
4000x3000.png,Gaussian_11x11,AoS_Naive,16,off-avx2,omp-avx2,220.457586,220.346872,220.976037,220.529135,220.365945,220.899291,0.9996755576082952
4000x3000.png,Gaussian_11x11,AoS_Naive,20,off-avx2,omp-avx2,177.207452,177.045679,180.059348,176.987048,176.892896,177.164329,1.0012453114648254
4000x3000.png,Gaussian_11x11,SoA_Naive,1,off-avx2,omp-avx2,3066.312814,3066.240672,3077.383533,6050.153156,6046.659301,6084.100698,0.5068157342362656
4000x3000.png,Gaussian_11x11,SoA_Naive,2,off-avx2,omp-avx2,1534.651019,1534.080497,1535.889824,3035.945966,3029.191977,3047.943819,0.5054935220148117
4000x3000.png,Gaussian_11x11,SoA_Naive,4,off-avx2,omp-avx2,771.643209,767.859205,776.989141,1522.039932,1513.136126,1619.579373,0.5069796086007026
4000x3000.png,Gaussian_11x11,SoA_Naive,8,off-avx2,omp-avx2,429.605559,427.13228,429.883954,845.574742,842.116602,848.50989,0.5080633770870133
4000x3000.png,Gaussian_11x11,SoA_Naive,12,off-avx2,omp-avx2,295.34412,295.319869,295.573951,583.467695,581.755805,597.537685,0.5061876133519267
4000x3000.png,Gaussian_11x11,SoA_Naive,16,off-avx2,omp-avx2,221.528665,221.270032,233.614481,436.459895,436.322725,454.682905,0.5075578937212547
4000x3000.png,Gaussian_11x11,SoA_Naive,20,off-avx2,omp-avx2,177.754374,177.693258,177.961492,350.120703,349.52553,350.138997,0.5076945535551493
