Image,Operation,Threads,Build,Layout,Kernel_median_ms,Kernel_min_ms,Kernel_max_ms
4000x3000.png,Gaussian_11x11,8,omp-avx2,AoS_Naive,427.682968,424.422624,427.982786
4000x3000.png,Gaussian_11x11,12,omp-avx2,AoS_Naive,294.291375,294.244683,294.41147
4000x3000.png,Gaussian_11x11,16,omp-avx2,AoS_Naive,220.529135,220.365945,220.899291
4000x3000.png,Gaussian_11x11,20,omp-avx2,AoS_Naive,176.987048,176.892896,177.164329
4000x3000.png,Gaussian_11x11,1,omp-avx2,SoA_Naive,6050.153156,6046.659301,6084.100698
4000x3000.png,Gaussian_11x11,2,omp-avx2,SoA_Naive,3035.945966,3029.191977,3047.943819
4000x3000.png,Gaussian_11x11,4,omp-avx2,SoA_Naive,1522.039932,1513.136126,1619.579373
4000x3000.png,Gaussian_11x11,8,omp-avx2,SoA_Naive,845.574742,842.116602,848.50989
4000x3000.png,Gaussian_11x11,12,omp-avx2,SoA_Naive,583.467695,581.755805,597.537685
4000x3000.png,Gaussian_11x11,16,omp-avx2,SoA_Naive,436.459895,436.322725,454.682905
4000x3000.png,Gaussian_11x11,20,omp-avx2,SoA_Naive,350.120703,349.52553,350.138997
4000x3000.png,Gaussian_11x11,1,omp-avx2,SoA_Separable,93.874956,93.723091,93.969732
4000x3000.png,Gaussian_11x11,2,omp-avx2,SoA_Separable,48.823571,47.566842,54.490394
4000x3000.png,Gaussian_11x11,4,omp-avx2,SoA_Separable,28.035158,27.69515,28.930282
4000x3000.png,Gaussian_11x11,8,omp-avx2,SoA_Separable,14.212835,13.723836,15.716802
4000x3000.png,Gaussian_11x11,12,omp-avx2,SoA_Separable,10.92698,10.86263,11.097459
4000x3000.png,Gaussian_11x11,16,omp-avx2,SoA_Separable,8.928013,8.851121,9.032694
4000x3000.png,Gaussian_11x11,20,omp-avx2,SoA_Separable,8.004675,7.911937,8.187611
4000x3000.png,Grayscale,1,off,AoS,46.097137,46.054638,46.464824
4000x3000.png,Grayscale,2,off,AoS,24.263333,24.24829,24.378621
4000x3000.png,Grayscale,4,off,AoS,12.769016,12.639701,12.816025
4000x3000.png,Grayscale,8,off,AoS,7.488645,7.303784,7.572454
4000x3000.png,Grayscale,12,off,AoS,5.456192,5.439407,5.539852
4000x3000.png,Grayscale,16,off,AoS,4.528516,4.492654,4.666531
4000x3000.png,Grayscale,20,off,AoS,3.961668,3.903003,3.978186
4000x3000.png,Grayscale,1,off,SoA,38.482439,38.427883,38.790837
4000x3000.png,Grayscale,2,off,SoA,19.670437,19.650573,21.176654
4000x3000.png,Grayscale,4,off,SoA,10.183648,10.098594,10.210766
4000x3000.png,Grayscale,8,off,SoA,5.500795,5.464064,5.740433
4000x3000.png,Grayscale,12,off,SoA,3.802248,3.793543,3.823135
4000x3000.png,Grayscale,16,off,SoA,2.870788,2.862867,2.897765
4000x3000.png,Grayscale,20,off,SoA,2.311838,2.287469,2.332061
4000x3000.png,Grayscale,1,off-avx2,AoS,46.601338,46.520245,46.974226
4000x3000.png,Grayscale,2,off-avx2,AoS,24.575538,24.544674,24.996679
4000x3000.png,Grayscale,4,off-avx2,AoS,13.011466,12.891111,13.143387
4000x3000.png,Grayscale,8,off-avx2,AoS,7.485233,7.411253,7.643667
4000x3000.png,Grayscale,12,off-avx2,AoS,5.561245,5.49472,5.599021
4000x3000.png,Grayscale,16,off-avx2,AoS,4.554635,4.515782,4.573077
4000x3000.png,Grayscale,20,off-avx2,AoS,3.973295,3.947567,4.01409
4000x3000.png,Grayscale,1,off-avx2,SoA,36.566535,36.498813,37.011284
4000x3000.png,Grayscale,2,off-avx2,SoA,18.784947,18.36967,19.163231
4000x3000.png,Grayscale,4,off-avx2,SoA,9.681168,9.288639,9.824327
4000x3000.png,Grayscale,8,off-avx2,SoA,5.367255,5.272948,5.509774
4000x3000.png,Grayscale,12,off-avx2,SoA,3.630469,3.625284,3.634928
4000x3000.png,Grayscale,16,off-avx2,SoA,2.733857,2.725129,2.751976
4000x3000.png,Grayscale,20,off-avx2,SoA,2.21867,2.188247,2.386155
4000x3000.png,Grayscale,1,omp,AoS,47.852556,47.838397,48.209707
4000x3000.png,Grayscale,2,omp,AoS,25.198961,24.525091,25.233366
4000x3000.png,Grayscale,4,omp,AoS,13.272698,13.171729,13.457107
4000x3000.png,Grayscale,8,omp,AoS,7.766748,7.513936,7.914396
4000x3000.png,Grayscale,12,omp,AoS,5.658494,5.59276,6.092272
4000x3000.png,Grayscale,16,omp,AoS,4.606324,4.560271,4.885654
4000x3000.png,Grayscale,20,omp,AoS,4.077264,4.029469,4.099239
4000x3000.png,Grayscale,1,omp,SoA,38.487874,38.401148,41.660968
4000x3000.png,Grayscale,2,omp,SoA,19.686007,19.676115,19.94364
4000x3000.png,Grayscale,4,omp,SoA,10.176247,9.754628,10.216463
4000x3000.png,Grayscale,8,omp,SoA,5.527744,5.352664,5.646072
4000x3000.png,Grayscale,12,omp,SoA,3.80203,3.786864,3.822303
4000x3000.png,Grayscale,16,omp,SoA,2.866939,2.860754,2.873092
4000x3000.png,Grayscale,20,omp,SoA,2.282618,2.274247,2.33675
4000x3000.png,Grayscale,1,omp-avx2,AoS,46.151421,46.13616,46.87894
4000x3000.png,Grayscale,2,omp-avx2,AoS,24.392663,24.317102,24.76267
4000x3000.png,Grayscale,4,omp-avx2,AoS,12.86661,12.781207,12.990683
4000x3000.png,Grayscale,8,omp-avx2,AoS,7.487897,7.302968,7.634112
4000x3000.png,Grayscale,12,omp-avx2,AoS,5.47648,5.38987,5.489911
4000x3000.png,Grayscale,16,omp-avx2,AoS,4.468216,4.418216,4.480633
4000x3000.png,Grayscale,20,omp-avx2,AoS,3.995294,3.950544,5.634609
4000x3000.png,Grayscale,1,omp-avx2,SoA,36.812639,36.42202,37.688536
4000x3000.png,Grayscale,2,omp-avx2,SoA,18.731168,18.68734,18.920058
4000x3000.png,Grayscale,4,omp-avx2,SoA,9.619471,9.284472,9.782343
4000x3000.png,Grayscale,8,omp-avx2,SoA,5.290232,5.22946,5.393722
4000x3000.png,Grayscale,12,omp-avx2,SoA,3.618544,3.588631,3.630302
4000x3000.png,Grayscale,16,omp-avx2,SoA,2.745615,2.718454,2.78126
4000x3000.png,Grayscale,20,omp-avx2,SoA,2.181083,2.16692,4.209324
6000x6000.png,Gaussian_11x11,1,off,AoS_Naive,9190.825251,9189.76847,9201.286679
6000x6000.png,Gaussian_11x11,2,off,AoS_Naive,4598.797761,4597.519058,4606.59363
6000x6000.png,Gaussian_11x11,4,off,AoS_Naive,2311.755209,2305.954882,2459.473105
6000x6000.png,Gaussian_11x11,8,off,AoS_Naive,1279.615002,1277.608293,1298.895213
6000x6000.png,Gaussian_11x11,12,off,AoS_Naive,883.941398,883.501456,885.060624
6000x6000.png,Gaussian_11x11,16,off,AoS_Naive,666.073817,663.706114,701.643675
6000x6000.png,Gaussian_11x11,20,off,AoS_Naive,533.940138,531.452636,536.570003
6000x6000.png,Gaussian_11x11,1,off,SoA_Naive,9232.853671,9227.468026,9235.960347
6000x6000.png,Gaussian_11x11,2,off,SoA_Naive,4615.999649,4614.855107,4616.403069
6000x6000.png,Gaussian_11x11,4,off,SoA_Naive,2339.797359,2325.55166,2471.178075
6000x6000.png,Gaussian_11x11,8,off,SoA_Naive,1289.179002,1287.541921,1293.049426
6000x6000.png,Gaussian_11x11,12,off,SoA_Naive,889.221389,888.545077,894.322015
6000x6000.png,Gaussian_11x11,16,off,SoA_Naive,668.143309,666.209465,668.36452
6000x6000.png,Gaussian_11x11,20,off,SoA_Naive,534.696283,532.997605,535.054545
6000x6000.png,Gaussian_11x11,1,off,SoA_Separable,690.603178,690.392419,690.789386
6000x6000.png,Gaussian_11x11,2,off,SoA_Separable,349.066307,346.11212,356.138989
6000x6000.png,Gaussian_11x11,4,off,SoA_Separable,181.087875,177.68342,190.21201
6000x6000.png,Gaussian_11x11,8,off,SoA_Separable,100.599011,98.568792,101.783985
6000x6000.png,Gaussian_11x11,12,off,SoA_Separable,69.913302,68.710063,70.624273
6000x6000.png,Gaussian_11x11,16,off,SoA_Separable,53.792154,50.804503,82.287555
6000x6000.png,Gaussian_11x11,20,off,SoA_Separable,45.40945,43.197417,78.984102
6000x6000.png,Gaussian_11x11,1,off-avx2,AoS_Naive,9177.506014,9176.037121,9186.42935
6000x6000.png,Gaussian_11x11,2,off-avx2,AoS_Naive,4591.294828,4589.996905,4593.80434
6000x6000.png,Gaussian_11x11,4,off-avx2,AoS_Naive,2312.21849,2299.560166,2352.404927
6000x6000.png,Gaussian_11x11,8,off-avx2,AoS_Naive,1281.443685,1277.672428,1286.260963
6000x6000.png,Gaussian_11x11,12,off-avx2,AoS_Naive,882.360078,882.206539,882.786559
6000x6000.png,Gaussian_11x11,16,off-avx2,AoS_Naive,662.95519,662.492716,665.856713
6000x6000.png,Gaussian_11x11,20,off-avx2,AoS_Naive,531.406282,529.888069,636.604267
6000x6000.png,Gaussian_11x11,1,off-avx2,SoA_Naive,9223.721776,9221.359697,9232.068323
6000x6000.png,Gaussian_11x11,2,off-avx2,SoA_Naive,4615.679057,4614.388342,4624.194313
6000x6000.png,Gaussian_11x11,4,off-avx2,SoA_Naive,2328.575451,2320.784201,2341.467178
6000x6000.png,Gaussian_11x11,8,off-avx2,SoA_Naive,1291.731237,1284.484418,1293.641501
6000x6000.png,Gaussian_11x11,12,off-avx2,SoA_Naive,888.439487,888.130128,888.804205
6000x6000.png,Gaussian_11x11,16,off-avx2,SoA_Naive,666.040846,665.729155,667.975386
6000x6000.png,Gaussian_11x11,20,off-avx2,SoA_Naive,534.084359,533.047782,559.800823
6000x6000.png,Gaussian_11x11,1,off-avx2,SoA_Separable,690.634583,689.890523,691.329
6000x6000.png,Gaussian_11x11,2,off-avx2,SoA_Separable,347.35966,345.700854,359.429734
6000x6000.png,Gaussian_11x11,4,off-avx2,SoA_Separable,177.932458,174.27802,182.902177
6000x6000.png,Gaussian_11x11,8,off-avx2,SoA_Separable,100.782706,98.786667,127.200314
6000x6000.png,Gaussian_11x11,12,off-avx2,SoA_Separable,70.562723,68.580225,86.054764
6000x6000.png,Gaussian_11x11,16,off-avx2,SoA_Separable,53.67106,53.609173,75.93958
6000x6000.png,Gaussian_11x11,20,off-avx2,SoA_Separable,44.812047,43.866473,45.030799
6000x6000.png,Gaussian_11x11,1,omp,AoS_Naive,9190.403258,9189.483217,9202.363279
6000x6000.png,Gaussian_11x11,2,omp,AoS_Naive,4599.536432,4597.698158,4608.674166
6000x6000.png,Gaussian_11x11,4,omp,AoS_Naive,2319.218662,2316.432964,2322.452873
6000x6000.png,Gaussian_11x11,8,omp,AoS_Naive,1283.570455,1279.446422,1286.523549
6000x6000.png,Gaussian_11x11,12,omp,AoS_Naive,883.579662,883.496937,884.234447
6000x6000.png,Gaussian_11x11,16,omp,AoS_Naive,664.140037,663.666084,667.148236
6000x6000.png,Gaussian_11x11,20,omp,AoS_Naive,532.419665,531.471969,568.211639
6000x6000.png,Gaussian_11x11,1,omp,SoA_Naive,18600.43562,18586.713725,18611.124101
6000x6000.png,Gaussian_11x11,2,omp,SoA_Naive,9306.167469,9299.593071,9354.191857
6000x6000.png,Gaussian_11x11,4,omp,SoA_Naive,4717.896552,4712.489758,4787.197932
6000x6000.png,Gaussian_11x11,8,omp,SoA_Naive,2616.151335,2610.052685,2651.517674
6000x6000.png,Gaussian_11x11,12,omp,SoA_Naive,1807.213252,1789.013341,1808.940797
6000x6000.png,Gaussian_11x11,16,omp,SoA_Naive,1357.741707,1341.574789,1369.0203
6000x6000.png,Gaussian_11x11,20,omp,SoA_Naive,1085.751183,1081.789136,1087.132378
6000x6000.png,Gaussian_11x11,1,omp,SoA_Separable,407.740581,406.998185,408.152716
6000x6000.png,Gaussian_11x11,2,omp,SoA_Separable,211.16306,204.680265,213.313384
6000x6000.png,Gaussian_11x11,4,omp,SoA_Separable,114.28218,105.64124,116.645469
6000x6000.png,Gaussian_11x11,8,omp,SoA_Separable,64.736875,63.868475,64.957375
6000x6000.png,Gaussian_11x11,12,omp,SoA_Separable,46.159508,45.180326,46.58989
6000x6000.png,Gaussian_11x11,16,omp,SoA_Separable,38.190062,37.687941,38.943074
6000x6000.png,Gaussian_11x11,20,omp,SoA_Separable,35.822841,35.51141,37.526347
6000x6000.png,Gaussian_11x11,1,omp-avx2,AoS_Naive,9177.199376,9173.145855,9184.415136
6000x6000.png,Gaussian_11x11,2,omp-avx2,AoS_Naive,4590.750105,4590.070232,4597.806374
6000x6000.png,Gaussian_11x11,4,omp-avx2,AoS_Naive,2321.069195,2312.600881,2456.794852
6000x6000.png,Gaussian_11x11,8,omp-avx2,AoS_Naive,1278.276653,1275.338483,1280.590032
6000x6000.png,Gaussian_11x11,12,omp-avx2,AoS_Naive,882.290735,881.951657,883.317802
6000x6000.png,Gaussian_11x11,16,omp-avx2,AoS_Naive,663.218573,662.61668,663.587985
6000x6000.png,Gaussian_11x11,20,omp-avx2,AoS_Naive,531.26661,530.318307,755.235368
6000x6000.png,Gaussian_11x11,1,omp-avx2,SoA_Naive,18192.961617,18192.256567,18323.89309
6000x6000.png,Gaussian_11x11,2,omp-avx2,SoA_Naive,9103.68496,9100.393004,9117.589248
6000x6000.png,Gaussian_11x11,4,omp-avx2,SoA_Naive,4643.693938,4608.569176,4876.310886
6000x6000.png,Gaussian_11x11,8,omp-avx2,SoA_Naive,2555.295285,2550.021646,2556.337444
6000x6000.png,Gaussian_11x11,12,omp-avx2,SoA_Naive,1764.2534,1759.817335,1774.684444
6000x6000.png,Gaussian_11x11,16,omp-avx2,SoA_Naive,1328.368154,1326.069962,1335.055582
6000x6000.png,Gaussian_11x11,20,omp-avx2,SoA_Naive,1072.850929,1065.885956,1081.506119
6000x6000.png,Gaussian_11x11,1,omp-avx2,SoA_Separable,280.833542,278.51415,280.944426
6000x6000.png,Gaussian_11x11,2,omp-avx2,SoA_Separable,149.666166,142.796183,156.285985
6000x6000.png,Gaussian_11x11,4,omp-avx2,SoA_Separable,87.93455,79.963783,96.833676
6000x6000.png,Gaussian_11x11,8,omp-avx2,SoA_Separable,49.184429,48.953793,49.723691
6000x6000.png,Gaussian_11x11,12,omp-avx2,SoA_Separable,37.420422,35.96724,37.951844
6000x6000.png,Gaussian_11x11,16,omp-avx2,SoA_Separable,35.00154,34.753457,35.851278
6000x6000.png,Gaussian_11x11,20,omp-avx2,SoA_Separable,33.192968,32.471084,33.718669
6000x6000.png,Grayscale,1,off,AoS,138.541899,138.415909,138.606928
6000x6000.png,Grayscale,2,off,AoS,71.347584,69.799288,72.634849
6000x6000.png,Grayscale,4,off,AoS,37.576596,36.438074,37.718475
6000x6000.png,Grayscale,8,off,AoS,21.108464,21.074282,21.240766
6000x6000.png,Grayscale,12,off,AoS,14.845203,14.796499,15.023012
6000x6000.png,Grayscale,16,off,AoS,11.630979,11.447643,11.736744
6000x6000.png,Grayscale,20,off,AoS,9.607823,9.588787,14.731615
6000x6000.png,Grayscale,1,off,SoA,115.587496,115.535697,116.034168
6000x6000.png,Grayscale,2,off,SoA,58.829296,57.638079,59.604745
6000x6000.png,Grayscale,4,off,SoA,30.281419,29.632097,30.708898
6000x6000.png,Grayscale,8,off,SoA,16.692419,16.611748,17.270085
6000x6000.png,Grayscale,12,off,SoA,11.484187,11.244483,11.702262
6000x6000.png,Grayscale,16,off,SoA,8.661622,8.615868,8.666087
6000x6000.png,Grayscale,20,off,SoA,7.006073,6.912936,12.125909
6000x6000.png,Grayscale,1,off-avx2,AoS,139.993223,139.938194,140.302148
6000x6000.png,Grayscale,2,off-avx2,AoS,71.077474,70.313737,73.46038
6000x6000.png,Grayscale,4,off-avx2,AoS,37.997858,37.98235,38.268735
6000x6000.png,Grayscale,8,off-avx2,AoS,21.301103,20.598109,21.414908
6000x6000.png,Grayscale,12,off-avx2,AoS,15.057215,14.953664,15.076869
6000x6000.png,Grayscale,16,off-avx2,AoS,11.66381,11.290369,11.740661
6000x6000.png,Grayscale,20,off-avx2,AoS,9.684864,9.666474,9.729498
6000x6000.png,Grayscale,1,off-avx2,SoA,109.881421,109.582668,110.036464
6000x6000.png,Grayscale,2,off-avx2,SoA,56.432626,55.005168,56.850338
6000x6000.png,Grayscale,4,off-avx2,SoA,28.814628,28.264903,29.321847
6000x6000.png,Grayscale,8,off-avx2,SoA,15.988915,15.828753,16.008756
6000x6000.png,Grayscale,12,off-avx2,SoA,10.981054,10.730747,10.994229
6000x6000.png,Grayscale,16,off-avx2,SoA,8.249026,7.976614,8.419565
