Image,Operation,Variant,Phase,Width,Height,Threads,Schedule,Build,Samples,Median_ms,Min_ms,Max_ms,Scalar_to_Auto,Auto_to_Omp,Original_to_Variant,All_Exact,Max_Abs_Error
poke.jpg,Gaussian_11x11,aos_direct,kernel,640,360,1,static,auto-avx2,1,27.853333,27.853333,27.853333,0.977946,,,yes,0
poke.jpg,Gaussian_11x11,aos_direct,kernel,640,360,1,static,off-avx2,1,27.239042,27.239042,27.239042,,,,yes,0
poke.jpg,Gaussian_11x11,aos_direct,kernel,640,360,1,static,omp-avx2,1,26.541049,26.541049,26.541049,,1.049444,,yes,0
poke.jpg,Gaussian_11x11,aos_direct,total,640,360,1,static,auto-avx2,1,27.853333,27.853333,27.853333,0.977946,,,yes,0
poke.jpg,Gaussian_11x11,aos_direct,total,640,360,1,static,off-avx2,1,27.239042,27.239042,27.239042,,,,yes,0
poke.jpg,Gaussian_11x11,aos_direct,total,640,360,1,static,omp-avx2,1,26.541049,26.541049,26.541049,,1.049444,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,horizontal,640,360,1,static,auto-avx2,1,0.657096,0.657096,0.657096,4.066663,,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,horizontal,640,360,1,static,off-avx2,1,2.672188,2.672188,2.672188,,,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,horizontal,640,360,1,static,omp-avx2,1,0.647417,0.647417,0.647417,,1.014950,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,kernel,640,360,1,static,auto-avx2,1,3.350707,3.350707,3.350707,2.023611,,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,kernel,640,360,1,static,off-avx2,1,6.780527,6.780527,6.780527,,,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,kernel,640,360,1,static,omp-avx2,1,3.039534,3.039534,3.039534,,1.102375,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,total,640,360,1,static,auto-avx2,1,3.350707,3.350707,3.350707,2.023611,,8.312673,yes,0
poke.jpg,Gaussian_11x11,aos_separable,total,640,360,1,static,off-avx2,1,6.780527,6.780527,6.780527,,,4.017246,yes,0
poke.jpg,Gaussian_11x11,aos_separable,total,640,360,1,static,omp-avx2,1,3.039534,3.039534,3.039534,,1.102375,8.731947,yes,0
poke.jpg,Gaussian_11x11,aos_separable,vertical,640,360,1,static,auto-avx2,1,2.693611,2.693611,2.693611,1.525216,,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,vertical,640,360,1,static,off-avx2,1,4.108339,4.108339,4.108339,,,,yes,0
poke.jpg,Gaussian_11x11,aos_separable,vertical,640,360,1,static,omp-avx2,1,2.392117,2.392117,2.392117,,1.126036,,yes,0
poke.jpg,Gaussian_11x11,production_float,total_including_allocation,640,360,1,static,auto-avx2,1,29.110869,29.110869,29.110869,1.103263,,,no,1
poke.jpg,Gaussian_11x11,production_float,total_including_allocation,640,360,1,static,off-avx2,1,32.116947,32.116947,32.116947,,,,no,1
poke.jpg,Gaussian_11x11,production_float,total_including_allocation,640,360,1,static,omp-avx2,1,29.772329,29.772329,29.772329,,0.977783,,no,1
poke.jpg,Gaussian_11x11,soa_direct,aos_to_soa,640,360,1,static,auto-avx2,1,0.219860,0.219860,0.219860,0.993214,,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,aos_to_soa,640,360,1,static,off-avx2,1,0.218368,0.218368,0.218368,,,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,aos_to_soa,640,360,1,static,omp-avx2,1,0.217261,0.217261,0.217261,,1.011963,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,kernel,640,360,1,static,auto-avx2,1,39.787155,39.787155,39.787155,1.028569,,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,kernel,640,360,1,static,off-avx2,1,40.923819,40.923819,40.923819,,,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,kernel,640,360,1,static,omp-avx2,1,41.217797,41.217797,41.217797,,0.965291,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,soa_to_aos,640,360,1,static,auto-avx2,1,0.189580,0.189580,0.189580,1.071516,,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,soa_to_aos,640,360,1,static,off-avx2,1,0.203138,0.203138,0.203138,,,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,soa_to_aos,640,360,1,static,omp-avx2,1,0.233774,0.233774,0.233774,,0.810954,,yes,0
poke.jpg,Gaussian_11x11,soa_direct,total,640,360,1,static,auto-avx2,1,40.196595,40.196595,40.196595,1.028578,,0.692928,yes,0
poke.jpg,Gaussian_11x11,soa_direct,total,640,360,1,static,off-avx2,1,41.345325,41.345325,41.345325,,,0.658818,yes,0
poke.jpg,Gaussian_11x11,soa_direct,total,640,360,1,static,omp-avx2,1,41.668832,41.668832,41.668832,,0.964668,0.636952,yes,0
poke.jpg,Gaussian_11x11,soa_separable,aos_to_soa,640,360,1,static,auto-avx2,1,0.219860,0.219860,0.219860,0.993214,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,aos_to_soa,640,360,1,static,off-avx2,1,0.218368,0.218368,0.218368,,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,aos_to_soa,640,360,1,static,omp-avx2,1,0.217261,0.217261,0.217261,,1.011963,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,horizontal,640,360,1,static,auto-avx2,1,0.557452,0.557452,0.557452,4.750673,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,horizontal,640,360,1,static,off-avx2,1,2.648272,2.648272,2.648272,,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,horizontal,640,360,1,static,omp-avx2,1,0.532946,0.532946,0.532946,,1.045982,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,kernel,640,360,1,static,auto-avx2,1,2.820204,2.820204,2.820204,2.409338,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,kernel,640,360,1,static,off-avx2,1,6.794825,6.794825,6.794825,,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,kernel,640,360,1,static,omp-avx2,1,2.821885,2.821885,2.821885,,0.999404,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,soa_to_aos,640,360,1,static,auto-avx2,1,0.181241,0.181241,0.181241,1.102256,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,soa_to_aos,640,360,1,static,off-avx2,1,0.199774,0.199774,0.199774,,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,soa_to_aos,640,360,1,static,omp-avx2,1,0.189832,0.189832,0.189832,,0.954744,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,total,640,360,1,static,auto-avx2,1,3.221305,3.221305,3.221305,2.239144,,8.646599,yes,0
poke.jpg,Gaussian_11x11,soa_separable,total,640,360,1,static,off-avx2,1,7.212967,7.212967,7.212967,,,3.776399,yes,0
poke.jpg,Gaussian_11x11,soa_separable,total,640,360,1,static,omp-avx2,1,3.228978,3.228978,3.228978,,0.997624,8.219644,yes,0
poke.jpg,Gaussian_11x11,soa_separable,vertical,640,360,1,static,auto-avx2,1,2.262752,2.262752,2.262752,1.832526,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,vertical,640,360,1,static,off-avx2,1,4.146553,4.146553,4.146553,,,,yes,0
poke.jpg,Gaussian_11x11,soa_separable,vertical,640,360,1,static,omp-avx2,1,2.288939,2.288939,2.288939,,0.988559,,yes,0
poke.jpg,Gaussian_3x3,aos_direct,kernel,640,360,1,static,auto-avx2,1,3.143931,3.143931,3.143931,0.965037,,,yes,0
poke.jpg,Gaussian_3x3,aos_direct,kernel,640,360,1,static,off-avx2,1,3.034011,3.034011,3.034011,,,,yes,0
poke.jpg,Gaussian_3x3,aos_direct,kernel,640,360,1,static,omp-avx2,1,3.107836,3.107836,3.107836,,1.011614,,yes,0
poke.jpg,Gaussian_3x3,aos_direct,total,640,360,1,static,auto-avx2,1,3.143931,3.143931,3.143931,0.965037,,,yes,0
poke.jpg,Gaussian_3x3,aos_direct,total,640,360,1,static,off-avx2,1,3.034011,3.034011,3.034011,,,,yes,0
poke.jpg,Gaussian_3x3,aos_direct,total,640,360,1,static,omp-avx2,1,3.107836,3.107836,3.107836,,1.011614,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,horizontal,640,360,1,static,auto-avx2,1,0.311499,0.311499,0.311499,2.592105,,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,horizontal,640,360,1,static,off-avx2,1,0.807438,0.807438,0.807438,,,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,horizontal,640,360,1,static,omp-avx2,1,0.336652,0.336652,0.336652,,0.925285,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,kernel,640,360,1,static,auto-avx2,1,2.289776,2.289776,2.289776,1.438112,,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,kernel,640,360,1,static,off-avx2,1,3.292954,3.292954,3.292954,,,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,kernel,640,360,1,static,omp-avx2,1,2.301328,2.301328,2.301328,,0.994980,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,total,640,360,1,static,auto-avx2,1,2.289776,2.289776,2.289776,1.438112,,1.373030,yes,0
poke.jpg,Gaussian_3x3,aos_separable,total,640,360,1,static,off-avx2,1,3.292954,3.292954,3.292954,,,0.921365,yes,0
poke.jpg,Gaussian_3x3,aos_separable,total,640,360,1,static,omp-avx2,1,2.301328,2.301328,2.301328,,0.994980,1.350453,yes,0
poke.jpg,Gaussian_3x3,aos_separable,vertical,640,360,1,static,auto-avx2,1,1.978277,1.978277,1.978277,1.256404,,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,vertical,640,360,1,static,off-avx2,1,2.485516,2.485516,2.485516,,,,yes,0
poke.jpg,Gaussian_3x3,aos_separable,vertical,640,360,1,static,omp-avx2,1,1.964676,1.964676,1.964676,,1.006923,,yes,0
