Thread,Rows,Work_ms,Init_Mode,Control_ms
0,300,3.86461,serial,6.69138
1,300,4.47443,serial,6.69138
2,300,3.84062,serial,6.69138
3,300,4.69821,serial,6.69138
4,300,4.71576,serial,6.69138
5,300,4.68317,serial,6.69138
6,300,4.70065,serial,6.69138
7,300,4.68174,serial,6.69138
8,300,4.67326,serial,6.69138
9,300,4.71188,serial,6.69138
10,300,5.11953,serial,6.69138
11,300,5.13795,serial,6.69138
12,300,5.19277,serial,6.69138
13,300,5.16877,serial,6.69138
14,300,5.10563,serial,6.69138
15,300,5.18056,serial,6.69138
16,300,5.17091,serial,6.69138
17,300,5.14809,serial,6.69138
18,300,5.17079,serial,6.69138
19,300,5.17266,serial,6.69138
