Image,Operation,Schedule,T20_ms,T40_ms,Speedup_20_over_40
control_half_noise_6000x6000.png,Adaptive_Median,static,826.386203,616.944767,1.3394816638423648
control_half_noise_6000x6000.png,Adaptive_Median,"dynamic,16",621.525467,595.56919,1.043582303174548
6000x6000.png,Gaussian_11x11,static,563.437498,556.472973,1.0125154775486285
6000x6000.png,Gaussian_11x11,"dynamic,16",568.163408,570.203505,0.9964221598392315
6000x6000.png,Grayscale,static,9.955296,13.234183,0.7522410714737737
6000x6000.png,Grayscale,"dynamic,16",9.988503,10.96169,0.9112192554250301
