Image,Threads,Schedule,Chunk,Simd,Total_operations_ms,Operations
6000x6000.png,16,dynamic,16,off,2073.809352,17
6000x6000.png,16,dynamic,16,off-avx2,2071.964439,17
6000x6000.png,16,dynamic,16,omp,2081.168256,17
6000x6000.png,16,dynamic,16,omp-avx2,2073.545962,17
6000x6000.png,16,static,,off,2035.528205,17
6000x6000.png,16,static,,off-avx2,2024.592683,17
6000x6000.png,16,static,,omp,2065.821308,17
6000x6000.png,16,static,,omp-avx2,2052.627463,17
6000x6000.png,2,dynamic,1,off,13705.347128000001,17
6000x6000.png,2,dynamic,1,off-avx2,13692.710088,17
6000x6000.png,2,dynamic,1,omp,13722.495702,17
6000x6000.png,2,dynamic,1,omp-avx2,13669.341367,17
6000x6000.png,2,dynamic,16,off,13602.089311,17
6000x6000.png,2,dynamic,16,off-avx2,13575.119072,17
6000x6000.png,2,dynamic,16,omp,13612.760830000001,17
6000x6000.png,2,dynamic,16,omp-avx2,13574.263522,17
6000x6000.png,2,static,,off,13621.403594,17
6000x6000.png,2,static,,off-avx2,13562.716049,17
6000x6000.png,2,static,,omp,13608.698263999999,17
6000x6000.png,2,static,,omp-avx2,13537.860772,17
6000x6000.png,20,dynamic,1,off,1785.105139,17
6000x6000.png,20,dynamic,1,off-avx2,1796.133232,17
6000x6000.png,20,dynamic,1,omp,1797.274009,17
6000x6000.png,20,dynamic,1,omp-avx2,1784.988359,17
6000x6000.png,20,dynamic,16,off,1685.836065,17
6000x6000.png,20,dynamic,16,off-avx2,1678.185061,17
6000x6000.png,20,dynamic,16,omp,1685.173479,17
6000x6000.png,20,dynamic,16,omp-avx2,1679.918294,17
6000x6000.png,20,static,,off,1660.409692,17
6000x6000.png,20,static,,off-avx2,1684.944121,17
6000x6000.png,20,static,,omp,1684.7661600000001,17
6000x6000.png,20,static,,omp-avx2,1657.1870239999998,17
6000x6000.png,4,dynamic,1,off,7108.145493,17
6000x6000.png,4,dynamic,1,off-avx2,7098.984494,17
6000x6000.png,4,dynamic,1,omp,7126.562184,17
6000x6000.png,4,dynamic,1,omp-avx2,7094.955549,17
6000x6000.png,4,dynamic,16,off,7004.634987,17
6000x6000.png,4,dynamic,16,off-avx2,7031.653213,17
6000x6000.png,4,dynamic,16,omp,7037.175896,17
6000x6000.png,4,dynamic,16,omp-avx2,6969.131282,17
6000x6000.png,4,static,,off,7066.854192,17
6000x6000.png,4,static,,off-avx2,6947.682134,17
6000x6000.png,4,static,,omp,7018.057515,17
6000x6000.png,4,static,,omp-avx2,6971.2003620000005,17
6000x6000.png,8,dynamic,1,off,4010.277497,17
6000x6000.png,8,dynamic,1,off-avx2,4008.6463439999998,17
6000x6000.png,8,dynamic,1,omp,4023.355278,17
6000x6000.png,8,dynamic,1,omp-avx2,4013.382364,17
6000x6000.png,8,dynamic,16,off,3909.058667,17
6000x6000.png,8,dynamic,16,off-avx2,3898.7252909999997,17
6000x6000.png,8,dynamic,16,omp,3896.549536,17
6000x6000.png,8,dynamic,16,omp-avx2,3883.97257,17
6000x6000.png,8,static,,off,3880.312556,17
6000x6000.png,8,static,,off-avx2,3861.670207,17
6000x6000.png,8,static,,omp,3878.433818,17
6000x6000.png,8,static,,omp-avx2,3870.319543,17
