Operation,"dynamic,1","dynamic,16"
Adjust_Brightness,1.1421640064919587,1.1097725556742073
Adjust_Contrast,1.1721255644559825,1.134000038077898
Equalize_Histogram,1.1455788679132723,1.1640895583704065
Flip_Horizontal,1.14463592724175,1.0683708964176777
Flip_Vertical,1.0475756361031276,1.0849362115410488
Gaussian_11x11,1.0011771133969527,0.9673089041963453
Gaussian_3x3,0.9065724263469801,0.9892427007877687
Gaussian_5x5,0.9538536534908963,0.9714081821919972
Gaussian_7x7,0.9868742851047495,0.962836590316763
Gaussian_9x9,1.004608087439521,0.9727239044238412
Grayscale,1.0227438977121635,1.0108036553111273
Negative,1.1373481444586035,1.1354824066352376
Quantize,1.1336303327860608,1.106643654222684
Rotate_CCW,0.5984687321794164,0.9914367910731747
Rotate_CW,0.6125264427023333,0.9944910869205081
Zoom_In,0.37028374066524866,0.9267483855107748
Zoom_Out,0.8948206688254239,0.9551865330706044
