Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	200215000000	176950500000	698924000000	3080004620	6149684485	6104183120	10850016275	6790010185	6160009240	43610065415	0	0	0	84070126105	10570015855	140000210	2170003255	203840305760	198730298095	178990268485	736821105230	726111089165	840001260	147991439610	109371281040	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0x20198 in stbi__parse_zlib]	2242500000	1805500000	4220500000	0	59501785	52501575	420000630	350000525	70000105	280000420	140000210	0	0	490000735	0	0	140000210	1750002625	1470002205	910001365	5110007665	3570005355	0	616018480	441013230	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
clear_page_erms	736000000	483000000	0	0	28000840	24500735	560000840	0	70000105	0	0	0	0	0	0	560000840	630000945	70000105	0	0	0	0	0	0	35001050	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
func@0xe704	644000000	644000000	69000000	0	28000840	17500525	280000420	770001155	140000210	140000210	0	0	0	70000105	0	0	0	0	70000105	0	210000315	0	0	42001260	0	0	0	0	0	libgomp.so.1.0.0	func@0xe704	[Unknown]	0xe704
[Loop@0x205c0 in stbi__parse_zlib]	414000000	310500000	345000000	0	10500315	17500525	350000525	0	0	280000420	0	0	0	280000420	0	0	0	350000525	140000210	70000105	1400002100	630000945	0	133003990	94502835	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
GOMP_loop_maybe_nonmonotonic_runtime_next	333500000	310500000	241500000	70000105	14000420	14000420	140000210	280000420	70000105	280000420	0	0	0	210000315	0	0	0	490000735	140000210	210000315	770001155	350000525	0	21000630	0	0	0	0	0	libgomp.so.1.0.0	GOMP_loop_maybe_nonmonotonic_runtime_next	[Unknown]	0xffe0
[Loop@0x1dd60 in stbi__create_png_image_raw]	322000000	345000000	1299500000	0	0	10500315	0	70000105	0	0	0	0	0	140000210	0	0	0	420000630	420000630	490000735	1330001995	1470002205	0	511015330	154004620	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
[Loop@0x1f7d8 in func@0x1f784]	276000000	138000000	126500000	0	7000210	0	210000315	140000210	0	0	0	0	0	70000105	0	0	70000105	0	70000105	0	210000315	210000315	0	7000210	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	218500000	207000000	701500000	0	24500735	52501575	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	490000735	490000735	0	35001050	0	0	0	0	0	flip_profile_runner	[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	[Unknown]	0xd438
[Loop@0x1f620 in func@0x1f5fd]	138000000	195500000	80500000	0	3500105	7000210	70000105	70000105	0	0	0	0	0	0	0	0	0	70000105	0	0	280000420	280000420	0	17500525	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
