Thread,Rows,Work_ms,Init_Mode,Control_ms
0,346,4.6391,serial,6.23013
1,341,4.72106,serial,6.23013
2,307,4.72149,serial,6.23013
3,309,4.72154,serial,6.23013
4,342,4.71971,serial,6.23013
5,310,4.72075,serial,6.23013
6,308,4.72992,serial,6.23013
7,305,4.71907,serial,6.23013
8,307,4.72926,serial,6.23013
9,308,4.7304,serial,6.23013
10,277,4.72451,serial,6.23013
11,283,4.72138,serial,6.23013
12,278,4.7214,serial,6.23013
13,286,4.73112,serial,6.23013
14,282,4.72668,serial,6.23013
15,284,4.72217,serial,6.23013
16,281,4.72232,serial,6.23013
17,279,4.72498,serial,6.23013
18,280,4.72352,serial,6.23013
19,287,4.72743,serial,6.23013
