Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	229643500000	203895000000	685699000000	20510030765	7066711995	7070212100	43750065625	40390060585	34160051240	43120064680	0	0	0	105280157920	37030055545	2870004305	2310003465	200760301140	193480290220	174020261030	714421071630	700911051365	560000840	143535805945	105507165120	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0xe850 in _Z15flip_horizontalR10ImageState._omp_fn.0]	3829500000	2760000000	12788000000	70000105	98002940	108503255	0	140000210	70000105	210000315	0	0	0	1400002100	700001050	0	0	4900007350	4480006720	3290004935	13300019950	14280021420	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0xe850 in _Z15flip_horizontalR10ImageState._omp_fn.0]	[Unknown]	0xe850
[Loop@0x20198 in stbi__parse_zlib]	2288500000	1817000000	4266500000	0	63001890	49001470	420000630	280000420	70000105	350000525	0	0	0	420000630	0	0	140000210	1960002940	1540002310	1050001575	5390008085	3780005670	0	693020790	444513335	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
func@0xe704	1380000000	1012000000	126500000	0	42001260	17500525	1400002100	1400002100	70000105	210000315	0	0	0	210000315	0	0	0	0	0	0	210000315	0	0	45501365	10500315	0	0	0	0	libgomp.so.1.0.0	func@0xe704	[Unknown]	0xe704
[Loop@0x1f7d8 in func@0x1f784]	690000000	713000000	345000000	70000105	28000840	14000420	420000630	280000420	70000105	0	0	0	0	70000105	0	0	140000210	350000525	70000105	0	560000840	490000735	0	66501995	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
clear_page_erms	621000000	517500000	0	0	14000420	21000630	840001260	0	0	0	0	0	0	70000105	0	630000945	700001050	70000105	70000105	0	280000420	0	0	0	38501155	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
GOMP_loop_maybe_nonmonotonic_runtime_next	552000000	368000000	218500000	210000315	21000630	14000420	420000630	210000315	0	140000210	0	0	0	70000105	0	0	70000105	210000315	210000315	70000105	490000735	560000840	0	28000840	0	0	0	0	0	libgomp.so.1.0.0	GOMP_loop_maybe_nonmonotonic_runtime_next	[Unknown]	0xffe0
[Loop@0x1f620 in func@0x1f5fd]	402500000	448500000	172500000	0	7000210	7000210	560000840	0	0	0	0	0	0	0	0	0	0	70000105	0	0	70000105	280000420	0	24500735	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
[Loop@0x205c0 in stbi__parse_zlib]	402500000	218500000	437000000	0	7000210	14000420	140000210	140000210	0	210000315	140000210	0	0	140000210	0	0	70000105	210000315	210000315	70000105	980001470	560000840	0	108503255	150504515	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
[Loop@0x1dd60 in stbi__create_png_image_raw]	333500000	299000000	1311000000	0	14000420	14000420	0	0	0	0	0	0	0	140000210	0	0	0	490000735	490000735	420000630	1400002100	1400002100	0	381511445	112003360	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
