Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
clear_page_erms	1035000000	920000000	11500000	0	35001050	38501155	910001365	0	140000210	0	0	0	0	140000210	140000210	560000840	910001365	0	70000105	70000105	280000420	280000420	0	10500315	94502835	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x1f620 in func@0x1f5fd]	678500000	724500000	253000000	0	10500315	24500735	280000420	140000210	0	0	0	0	0	70000105	0	0	210000315	420000630	140000210	0	630000945	210000315	0	38501155	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
[Loop@0x497e0 in compare_images]	621000000	483000000	2369000000	70000105	14000420	14000420	70000105	0	70000105	280000420	0	0	0	210000315	140000210	0	0	630000945	560000840	420000630	1960002940	1960002940	0	339510185	0	0	0	0	0	layout_benchmark	[Loop@0x497e0 in compare_images(ImageState const&, ImageState const&)]	[Unknown]	0x497e0
[Loop@0x45b17 in gaussian_11_aos._omp_fn.0]	460000000	402500000	2047000000	0	17500525	24500735	70000105	0	0	0	0	0	0	140000210	0	0	0	630000945	420000630	350000525	1820002730	1610002415	0	164504935	280008400	0	0	0	0	layout_benchmark	[Loop@0x45b17 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x45b17
[Loop@0x1f830 in stbi__create_png_image_raw]	425500000	322000000	1299500000	0	7000210	10500315	0	0	0	0	0	0	0	210000315	0	0	0	490000735	420000630	420000630	1330001995	1330001995	0	528515855	178505355	0	0	0	0	layout_benchmark	[Loop@0x1f830 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1f830
[Loop@0x22090 in stbi__parse_zlib]	391000000	356500000	483000000	0	28000840	21000630	140000210	140000210	0	210000315	70000105	0	0	70000105	0	0	0	350000525	140000210	70000105	1400002100	280000420	0	98002940	126003780	0	0	0	0	layout_benchmark	[Loop@0x22090 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x22090
[Loop@0x45860 in soa_to_aos._omp_fn.0]	379500000	241500000	966000000	0	3500105	7000210	70000105	0	0	0	0	0	0	210000315	0	70000105	0	210000315	280000420	420000630	1120001680	1050001575	0	567017010	217006510	0	0	0	0	layout_benchmark	[Loop@0x45860 in soa_to_aos._omp_fn.0]	[Unknown]	0x45860
roundf	345000000	264500000	816500000	0	17500525	14000420	0	0	0	70000105	0	0	0	0	0	0	0	560000840	280000420	140000210	980001470	1120001680	0	0	0	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x43990 in aos_to_soa._omp_fn.0]	276000000	241500000	483000000	0	0	3500105	70000105	0	0	0	0	0	0	210000315	0	70000105	0	70000105	140000210	210000315	630000945	770001155	0	220506615	98002940	0	0	0	0	layout_benchmark	[Loop@0x43990 in aos_to_soa._omp_fn.0]	[Unknown]	0x43990
func@0x3300	264500000	161000000	483000000	0	3500105	3500105	0	0	0	70000105	0	0	0	0	0	0	0	210000315	280000420	140000210	210000315	490000735	0	399011970	136504095	0	0	0	0	layout_benchmark	func@0x3300	[Unknown]	0x3300
[Loop@0x44718 in gaussian_11_horizontal_pass._omp_fn.0]	230000000	230000000	356500000	0	0	7000210	140000210	0	0	70000105	0	0	0	70000105	0	0	280000420	70000105	70000105	0	280000420	210000315	0	133003990	17500525	0	0	0	0	layout_benchmark	[Loop@0x44718 in gaussian_11_horizontal_pass._omp_fn.0]	[Unknown]	0x44718
[Loop@0x44a98 in gaussian_11_vertical_pass._omp_fn.0]	161000000	69000000	195500000	0	0	3500105	70000105	140000210	0	0	0	0	0	0	70000105	0	0	0	0	70000105	0	280000420	0	63001890	10500315	0	0	0	0	layout_benchmark	[Loop@0x44a98 in gaussian_11_vertical_pass._omp_fn.0]	[Unknown]	0x44a98
[Loop@0x45668 in gaussian_11_vertical_pass._omp_fn.0]	149500000	149500000	276000000	0	3500105	3500105	140000210	140000210	70000105	210000315	0	0	0	70000105	0	0	0	210000315	70000105	70000105	490000735	280000420	0	171505145	10500315	0	0	0	0	layout_benchmark	[Loop@0x45668 in gaussian_11_vertical_pass._omp_fn.0]	[Unknown]	0x45668
