Experiment,Build,Image,Width,Height,Threads,Schedule,Chunk,Touch_Mode,Repeat,Copy_ms,Horizontal_ms,Vertical_ms,Total_ms
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,16,pretouch-static,9,8.632513,7.666037,12.436371,28.734921
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,0,14.966772,4.791266,7.081949,26.839987
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,1,11.568756,4.946368,7.942021,24.457145
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,2,11.432039,5.053075,7.203149,23.688263
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,3,11.231381,4.979363,7.676019,23.886763
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,4,10.839238,4.934620,7.369112,23.142970
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,5,11.039387,5.224824,6.987366,23.251577
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,6,10.901179,4.748315,7.047980,22.697474
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,7,11.004070,4.705931,7.340958,23.050959
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,8,11.164321,4.681888,7.569115,23.415324
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,fresh,9,11.111140,4.890095,7.600227,23.601462
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,0,8.655461,7.685138,12.171118,28.511717
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,1,8.720796,7.488214,12.156884,28.365894
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,2,8.681543,7.481901,12.339702,28.503146
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,3,8.680566,7.758524,12.097792,28.536882
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,4,8.741315,7.734695,12.075417,28.551427
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,5,8.787291,7.742316,12.195948,28.725555
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,6,8.809949,7.705544,12.158220,28.673713
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,7,8.777902,7.709385,12.131187,28.618474
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,8,8.743573,7.796607,12.151033,28.691213
zoom-schedule-touch,omp-avx2,6000x6000.png,6000,6000,20,dynamic,64,pretouch-static,9,8.778006,7.956039,12.073844,28.807889
