Experiment,Build,Image,Threads,Round,Order,Schedule,Chunk,Thread,Rows,Work_ms
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,2,static,,19,300,5.110733
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,0,340,4.893498
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,1,314,4.846156
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,2,310,4.840732
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,3,313,4.847063
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,4,311,4.844867
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,5,310,4.838888
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,6,309,4.836414
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,7,307,4.839836
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,8,310,4.836349
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,9,312,4.842246
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,10,287,4.830265
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,11,288,4.831003
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,12,284,4.841201
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,13,287,4.840568
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,14,287,4.838848
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,15,288,4.839953
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,16,284,4.836434
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,17,288,4.837492
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,18,284,4.832741
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,3,dynamic,1,19,287,4.830249
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,0,300,3.817454
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,1,300,4.415380
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,2,300,4.425123
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,3,300,4.404744
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,4,300,4.392395
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,5,300,4.397206
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,6,300,4.392298
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,7,300,4.411897
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,8,300,4.413495
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,9,300,4.413523
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,10,300,4.827159
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,11,300,4.819172
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,12,300,4.800033
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,13,300,4.769141
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,14,300,4.766483
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,15,300,4.770976
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,16,300,4.756607
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,17,300,4.822575
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,18,300,4.821260
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,0,4,static,1,19,300,4.837340
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,0,300,3.841862
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,1,300,4.378181
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,2,300,4.103441
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,3,300,4.376367
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,4,300,4.369309
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,5,300,4.374415
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,6,300,4.384877
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,7,300,4.391883
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,8,300,4.384235
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,9,300,4.395779
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,10,300,4.698310
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,11,300,4.682681
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,12,300,4.653048
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,13,300,4.630327
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,14,300,4.659899
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,15,300,4.671942
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,16,300,4.664719
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,17,300,4.670421
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,18,300,4.630290
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,0,static,1,19,300,4.705353
flip-schedule-confirmation,omp-avx2,6000x6000.png,20,1,1,dynamic,1,0,350,4.753495
