Thread,Rows,Work_ms,Init_Mode,Control_ms
0,343,4.61617,parallel-runtime,4.64593
1,340,4.61665,parallel-runtime,4.64593
2,297,4.61724,parallel-runtime,4.64593
3,299,4.61926,parallel-runtime,4.64593
4,299,4.61586,parallel-runtime,4.64593
5,300,4.61667,parallel-runtime,4.64593
6,298,4.61228,parallel-runtime,4.64593
7,342,4.61903,parallel-runtime,4.64593
8,298,4.62316,parallel-runtime,4.64593
9,298,4.61333,parallel-runtime,4.64593
10,277,4.61955,parallel-runtime,4.64593
11,277,4.62304,parallel-runtime,4.64593
12,278,4.61191,parallel-runtime,4.64593
13,331,4.61164,parallel-runtime,4.64593
14,332,4.61194,parallel-runtime,4.64593
15,281,4.62491,parallel-runtime,4.64593
16,276,4.62444,parallel-runtime,4.64593
17,279,4.61483,parallel-runtime,4.64593
18,275,4.62267,parallel-runtime,4.64593
19,280,4.61629,parallel-runtime,4.64593
