Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	200169000000	176835500000	699303500000	4130006195	6072682175	6030680915	11270016905	7420011130	7490011235	44170066255	70000105	0	0	85820128730	12460018690	0	1960002940	205170307755	199780299670	180250270375	741231111845	728911093365	910001365	150609518150	112286868505	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0x1f7d8 in func@0x1f784]	7739500000	7153000000	3795000000	0	353510605	336010080	5180007770	1540002310	140000210	0	0	0	0	700001050	0	0	3500005250	3710005565	630000945	0	6580009870	7350011025	0	283508505	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
[Loop@0x20198 in stbi__parse_zlib]	2242500000	1702000000	4209000000	0	45501365	70002100	490000735	280000420	0	280000420	0	0	0	490000735	0	0	140000210	1610002415	1190001785	770001155	5530008295	3780005670	0	640519215	399011970	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
clear_page_erms	644000000	460000000	11500000	0	21000630	10500315	420000630	0	70000105	0	0	0	0	0	0	420000630	560000840	140000210	70000105	0	140000210	0	0	3500105	52501575	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
[Loop@0x1dd60 in stbi__create_png_image_raw]	402500000	287500000	1253500000	0	7000210	14000420	0	0	0	0	0	0	0	140000210	0	0	0	560000840	490000735	420000630	1330001995	1260001890	0	525015750	178505355	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
[Loop@0x205c0 in stbi__parse_zlib]	368000000	391000000	437000000	0	24500735	7000210	210000315	210000315	0	210000315	140000210	0	0	0	0	0	70000105	420000630	280000420	350000525	1050001575	420000630	0	87502625	154004620	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
[Loop@0x1f620 in func@0x1f5fd]	276000000	299000000	172500000	0	7000210	3500105	140000210	0	0	0	0	0	0	70000105	0	0	140000210	0	0	0	280000420	140000210	0	10500315	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	230000000	218500000	690000000	0	24500735	49001470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	[Unknown]	0xd438
[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	115000000	103500000	34500000	70000105	3500105	0	70000105	70000105	70000105	0	0	0	0	70000105	0	140000210	0	0	0	0	0	70000105	0	24500735	21000630	0	0	0	0	libc.so.6	[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	[Unknown]	0x152f85
[Loop@0xe840 in flip_horizontal._omp_fn.0]	103500000	92000000	310500000	0	3500105	0	70000105	0	0	0	0	0	0	0	0	0	0	0	70000105	70000105	70000105	140000210	0	73502205	0	0	0	0	0	flip_profile_runner	[Loop@0xe840 in flip_horizontal._omp_fn.0]	[Unknown]	0xe840
update_curr	80500000	57500000	0	210000315	0	0	70000105	70000105	0	70000105	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	3500105	0	0	0	0	vmlinux	update_curr	[Unknown]	0xffffffff844ec230
update_load_avg	80500000	115000000	11500000	0	3500105	0	0	70000105	70000105	70000105	0	0	0	70000105	0	0	0	0	0	0	0	70000105	0	0	10500315	0	0	0	0	vmlinux	update_load_avg	[Unknown]	0xffffffff844e8870
[Loop@0x11848 in stbi__zbuild_huffman]	69000000	34500000	23000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	70000105	140000210	0	3500105	3500105	0	0	0	0	flip_profile_runner	[Loop@0x11848 in stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)]	[Unknown]	0x11848
[Loop@0x1ab20 in stbi__convert_format]	69000000	115000000	46000000	0	0	0	0	70000105	70000105	0	0	0	0	70000105	70000105	0	0	0	70000105	0	0	70000105	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0x1ab20 in stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)]	[Unknown]	0x1ab20
common_interrupt_return	57500000	11500000	0	0	3500105	3500105	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	21000630	38501155	0	0	0	0	vmlinux	common_interrupt_return	[Unknown]	0xffffffff85001150
[Loop@0x1524a0 in __memcmp_avx2_movbe]	46000000	46000000	11500000	0	0	0	0	140000210	140000210	0	0	10500630	1750105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libc.so.6	[Loop@0x1524a0 in __memcmp_avx2_movbe]	[Unknown]	0x1524a0
asm_sysvec_apic_timer_interrupt	46000000	11500000	0	0	0	0	140000210	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	asm_sysvec_apic_timer_interrupt	[Unknown]	0xffffffff85000ef0
tick_sched_do_timer	46000000	0	0	0	3500105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	tick_sched_do_timer	[Unknown]	0xffffffff84567f80
[Loop@0x11920 in stbi__zbuild_huffman]	34500000	11500000	46000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7000210	0	0	0	0	flip_profile_runner	[Loop@0x11920 in stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)]	[Unknown]	0x11920
[Loop@0x1fc30 in func@0x1fbf4]	34500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1fc30 in func@0x1fbf4]	[Unknown]	0x1fc30
[Loop@0x20800 in stbi__parse_zlib]	34500000	23000000	23000000	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	70000105	0	0	0	0	3500105	0	0	0	0	0	flip_profile_runner	[Loop@0x20800 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20800
[Loop@0xe840 in _Z15flip_horizontalR10ImageState._omp_fn.0]	34500000	23000000	23000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0xe840 in _Z15flip_horizontalR10ImageState._omp_fn.0]	[Unknown]	0xe840
__memcpy_avx_unaligned_erms	34500000	11500000	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	70000105	0	0	0	70000105	70000105	0	0	3500105	0	0	0	0	libc.so.6	__memcpy_avx_unaligned_erms	[Unknown]	0x152a80
copy_user_enhanced_fast_string	34500000	57500000	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	copy_user_enhanced_fast_string	[Unknown]	0xffffffff84debf50
get_page_from_freelist	34500000	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500105	0	0	0	0	vmlinux	get_page_from_freelist	[Unknown]	0xffffffff846f3f80
hrtimer_interrupt	34500000	0	0	70000105	0	0	0	70000105	0	70000105	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	hrtimer_interrupt	[Unknown]	0xffffffff84555aa0
[Loop@0x203d0 in stbi__parse_zlib]	23000000	34500000	115000000	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	140000210	70000105	0	21000630	7000210	0	0	0	0	flip_profile_runner	[Loop@0x203d0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x203d0
account_user_time	23000000	34500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	vmlinux	account_user_time	[Unknown]	0xffffffff844ffbf0
cpuacct_account_field	23000000	23000000	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	cpuacct_account_field	[Unknown]	0xffffffff84508110
fpregs_assert_state_consistent	23000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	fpregs_assert_state_consistent	[Unknown]	0xffffffff84440720
func@0x1e7c4	23000000	0	0	0	0	0	0	140000210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libgomp.so.1.0.0	func@0x1e7c4	[Unknown]	0x1e7c4
perf_event_task_tick	23000000	0	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	perf_event_task_tick	[Unknown]	0xffffffff846686e0
psi_group_change	23000000	11500000	11500000	70000105	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	psi_group_change	[Unknown]	0xffffffff845066f0
reweight_entity	23000000	0	11500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	reweight_entity	[Unknown]	0xffffffff844ec430
scheduler_tick	23000000	0	0	0	0	0	0	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vmlinux	scheduler_tick	[Unknown]	0xffffffff844e2c80
task_tick_fair	23000000	11500000	0	0	0	3500105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3500105	7000210	0	0	0	0	vmlinux	task_tick_fair	[Unknown]	0xffffffff844ec9b0
