Image,Taps,Threads,Build,Component,Elapsed_ms,Direct_Hash,Separable_Hash,Validation
6000x6000.png,7,1,off-avx2,AoS_to_SoA,74.299546,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Horizontal,582.354952,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Vertical,1599.361068,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Kernel,2181.716020,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_Direct,3334.668625,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_to_SoA,72.685240,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Horizontal,581.046251,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Vertical,1613.628939,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Kernel,2194.675190,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_Direct,3342.232402,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_to_SoA,71.736889,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Horizontal,586.299055,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Vertical,1608.746025,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Kernel,2195.045080,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_Direct,3435.442844,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_to_SoA,73.684119,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Horizontal,583.930200,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Vertical,1603.360049,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Kernel,2187.290249,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_Direct,3339.945652,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,AoS_to_SoA,72.912527,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Horizontal,580.542902,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Vertical,1601.295401,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,1,off-avx2,SoA_Separable_Kernel,2181.838303,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,9,1,off-avx2,AoS_Direct,4880.101474,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_to_SoA,71.415457,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Horizontal,729.099853,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Vertical,1995.755833,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Kernel,2724.855686,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_Direct,4860.228496,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_to_SoA,71.743215,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Horizontal,729.349595,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Vertical,1964.968398,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Kernel,2694.317993,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_Direct,4860.099255,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_to_SoA,74.549754,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Horizontal,730.237941,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Vertical,1978.759288,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Kernel,2708.997229,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_Direct,4863.576868,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_to_SoA,71.676582,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Horizontal,739.662422,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Vertical,1962.694275,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Kernel,2702.356697,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_Direct,4860.141507,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,AoS_to_SoA,74.248563,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Horizontal,735.458692,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Vertical,1973.850139,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,1,off-avx2,SoA_Separable_Kernel,2709.308831,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,11,1,off-avx2,AoS_Direct,6924.376108,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_to_SoA,74.500051,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Horizontal,873.170428,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Vertical,1883.887214,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Kernel,2757.057642,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_Direct,6932.020113,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_to_SoA,71.001142,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Horizontal,876.185472,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Vertical,1875.123822,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Kernel,2751.309294,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_Direct,6945.691282,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_to_SoA,75.637070,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Horizontal,869.868442,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Vertical,1882.562054,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Kernel,2752.430496,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_Direct,6922.053428,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_to_SoA,73.189452,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Horizontal,875.958975,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Vertical,1876.330774,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Kernel,2752.289749,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_Direct,6959.592182,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,AoS_to_SoA,71.515782,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Horizontal,872.038403,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Vertical,1875.267718,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,11,1,off-avx2,SoA_Separable_Kernel,2747.306121,5e9a081c01146288,5e9a081c01146288,passed
6000x6000.png,3,20,off-avx2,AoS_Direct,88.548025,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_to_SoA,7.703959,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Horizontal,18.342740,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Vertical,83.085320,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Kernel,101.428060,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_Direct,87.625292,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_to_SoA,7.677496,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Horizontal,18.381429,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Vertical,82.548249,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Kernel,100.929678,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_Direct,88.584222,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_to_SoA,7.773338,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Horizontal,18.437665,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Vertical,83.141445,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Kernel,101.579110,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_Direct,87.413232,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_to_SoA,7.550648,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Horizontal,18.327865,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Vertical,82.517334,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Kernel,100.845199,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_Direct,88.085869,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,AoS_to_SoA,7.737191,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Horizontal,18.417325,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Vertical,82.574333,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,3,20,off-avx2,SoA_Separable_Kernel,100.991658,3dd4f556e5cf0db6,3dd4f556e5cf0db6,passed
6000x6000.png,5,20,off-avx2,AoS_Direct,128.663692,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_to_SoA,7.507868,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Horizontal,19.834612,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Vertical,85.711496,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Kernel,105.546108,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_Direct,128.975849,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_to_SoA,7.673363,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Horizontal,20.050966,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Vertical,85.324520,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Kernel,105.375486,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_Direct,128.415421,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_to_SoA,7.578599,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Horizontal,19.857049,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Vertical,85.770443,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Kernel,105.627492,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_Direct,131.931437,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_to_SoA,7.634972,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Horizontal,20.086912,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Vertical,86.040292,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Kernel,106.127204,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_Direct,128.580386,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,AoS_to_SoA,7.453950,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Horizontal,19.834545,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Vertical,85.624794,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,5,20,off-avx2,SoA_Separable_Kernel,105.459339,79917a62df845c26,79917a62df845c26,passed
6000x6000.png,7,20,off-avx2,AoS_Direct,192.592292,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_to_SoA,7.584899,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Horizontal,34.114478,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Vertical,92.480814,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Kernel,126.595292,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_Direct,192.129037,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_to_SoA,7.680352,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Horizontal,33.997853,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Vertical,92.559096,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Kernel,126.556949,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_Direct,192.465683,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_to_SoA,7.526511,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Horizontal,35.655246,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Vertical,105.168761,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Kernel,140.824007,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_Direct,192.407362,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_to_SoA,7.561926,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Horizontal,33.723871,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Vertical,92.915394,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Kernel,126.639265,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_Direct,192.520916,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,AoS_to_SoA,7.694327,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Horizontal,33.772023,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Vertical,93.041229,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,7,20,off-avx2,SoA_Separable_Kernel,126.813252,95772fde05018bf4,95772fde05018bf4,passed
6000x6000.png,9,20,off-avx2,AoS_Direct,280.241668,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,AoS_to_SoA,7.590445,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Horizontal,42.105770,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Vertical,129.521769,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Kernel,171.627539,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,AoS_Direct,280.111469,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,AoS_to_SoA,7.599280,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Horizontal,42.064581,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Vertical,129.784864,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Kernel,171.849445,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,AoS_Direct,279.895046,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,AoS_to_SoA,7.653131,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Horizontal,44.833938,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Vertical,135.301959,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Kernel,180.135897,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,AoS_Direct,280.085009,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,AoS_to_SoA,7.687060,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Horizontal,42.090084,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
6000x6000.png,9,20,off-avx2,SoA_Separable_Vertical,128.961688,69ef0b8e27d9660f,69ef0b8e27d9660f,passed
