Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
roundf	724500000	517500000	1518000000	0	10500315	28000840	0	0	0	70000105	0	0	0	70000105	0	0	0	700001050	560000840	210000315	2240003360	1820002730	0	0	0	0	0	0	0	libm.so.6	roundf	[Unknown]	0x41390
[Loop@0x45b17 in gaussian_11_aos._omp_fn.0]	713000000	598000000	1794000000	0	17500525	38501155	0	70000105	0	0	0	0	0	0	0	0	0	490000735	420000630	420000630	1540002310	1400002100	0	136504095	262507875	0	0	0	0	layout_benchmark	[Loop@0x45b17 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x45b17
[Loop@0x44ac0 in gaussian_11_vertical_pass._omp_fn.0]	701500000	644000000	828000000	70000105	24500735	28000840	210000315	560000840	350000525	0	0	12250735	0	350000525	140000210	0	70000105	420000630	420000630	70000105	560000840	700001050	0	182005460	3500105	0	0	0	0	layout_benchmark	[Loop@0x44ac0 in gaussian_11_vertical_pass._omp_fn.0]	[Unknown]	0x44ac0
[Loop@0x22090 in stbi__parse_zlib]	460000000	437000000	552000000	0	10500315	10500315	70000105	140000210	0	280000420	0	0	0	280000420	0	0	0	280000420	140000210	70000105	490000735	350000525	0	73502205	140004200	0	0	0	0	layout_benchmark	[Loop@0x22090 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x22090
func@0x3300	437000000	448500000	920000000	0	3500105	10500315	0	0	0	0	0	0	0	280000420	0	0	0	770001155	700001050	420000630	1400002100	1680002520	0	1067532025	472514175	0	0	0	0	layout_benchmark	func@0x3300	[Unknown]	0x3300
[Loop@0x1f830 in stbi__create_png_image_raw]	425500000	241500000	1299500000	0	0	10500315	0	0	0	0	0	0	0	140000210	0	0	0	420000630	490000735	490000735	1470002205	1470002205	0	539016170	150504515	0	0	0	0	layout_benchmark	[Loop@0x1f830 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1f830
[Loop@0x1f620 in func@0x1f5fd]	379500000	425500000	184000000	0	7000210	7000210	140000210	0	0	0	0	0	0	0	0	0	0	210000315	70000105	0	630000945	630000945	0	17500525	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
[Loop@0x45860 in soa_to_aos._omp_fn.0]	345000000	264500000	920000000	0	3500105	10500315	70000105	0	70000105	0	0	0	0	140000210	70000105	0	0	420000630	350000525	280000420	1120001680	700001050	0	175005250	143504305	0	0	0	0	layout_benchmark	[Loop@0x45860 in soa_to_aos._omp_fn.0]	[Unknown]	0x45860
[Loop@0x43990 in aos_to_soa._omp_fn.0]	299000000	264500000	460000000	0	3500105	3500105	70000105	0	0	0	0	0	0	70000105	0	0	0	0	70000105	350000525	1820002730	1960002940	0	448013440	112003360	0	0	0	0	layout_benchmark	[Loop@0x43990 in aos_to_soa._omp_fn.0]	[Unknown]	0x43990
[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	149500000	103500000	23000000	70000105	7000210	0	0	0	0	0	0	0	0	70000105	0	140000210	0	0	0	0	0	70000105	0	14000420	10500315	0	0	0	0	libc.so.6	[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	[Unknown]	0x152f85
