Run_ID,Timestamp_UTC,Image,Operation,Width,Height,Layout,Phase,Repeat,Threads,Schedule,Chunk,Simd_Build,OMP_Places,OMP_Proc_Bind,Hostname,Compiler,Build_Flags,Elapsed_ms,Result_Hash,Validation
layout-Gaussian_11x11-simd_off-t1-r1-6000x6000.png,2026-09-19T18:10:55Z,6000x6000.png,Gaussian_11x11,5990,5990,SoA,Kernel,1,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,9229.799905,c923a906c8989668,passed
layout-Gaussian_11x11-simd_off-t1-r1-6000x6000.png,2026-09-19T18:10:55Z,6000x6000.png,Gaussian_11x11,5990,5990,SoA,SoA_to_AoS,1,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,73.646968,c923a906c8989668,passed
layout-Gaussian_11x11-simd_off-t1-r1-6000x6000.png,2026-09-19T18:10:55Z,6000x6000.png,Gaussian_11x11,5990,5990,SoA,End_to_End,1,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,9375.182256,c923a906c8989668,passed
layout-Grayscale-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:10:56Z,4000x3000.png,Grayscale,4000,3000,AoS,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,47.858265,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:10:56Z,4000x3000.png,Grayscale,4000,3000,SoA,AoS_to_SoA,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,23.458957,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:10:56Z,4000x3000.png,Grayscale,4000,3000,SoA,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,38.444342,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:10:56Z,4000x3000.png,Grayscale,4000,3000,SoA,SoA_to_AoS,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,25.304627,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:10:56Z,4000x3000.png,Grayscale,4000,3000,SoA,End_to_End,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,87.207926,00925fa85224b60c,passed
layout-Grayscale-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:10:58Z,6000x6000.png,Grayscale,6000,6000,AoS,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,143.932310,937793859b387046,passed
layout-Grayscale-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:10:58Z,6000x6000.png,Grayscale,6000,6000,SoA,AoS_to_SoA,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,74.981077,937793859b387046,passed
layout-Grayscale-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:10:58Z,6000x6000.png,Grayscale,6000,6000,SoA,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,116.324826,937793859b387046,passed
layout-Grayscale-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:10:58Z,6000x6000.png,Grayscale,6000,6000,SoA,SoA_to_AoS,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,73.712062,937793859b387046,passed
layout-Grayscale-simd_omp-t1-r1-6000x6000.png,2026-09-19T18:10:58Z,6000x6000.png,Grayscale,6000,6000,SoA,End_to_End,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,265.017965,937793859b387046,passed
layout-Gaussian_11x11-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:11:12Z,4000x3000.png,Gaussian_11x11,3990,2990,AoS,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,3064.778543,1e8adb9534bf99dc,passed
layout-Gaussian_11x11-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:11:12Z,4000x3000.png,Gaussian_11x11,3990,2990,SoA,AoS_to_SoA,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,24.723707,1e8adb9534bf99dc,passed
layout-Gaussian_11x11-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:11:12Z,4000x3000.png,Gaussian_11x11,3990,2990,SoA,Kernel,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,6183.122086,1e8adb9534bf99dc,passed
layout-Gaussian_11x11-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:11:12Z,4000x3000.png,Gaussian_11x11,3990,2990,SoA,SoA_to_AoS,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,24.730025,1e8adb9534bf99dc,passed
layout-Gaussian_11x11-simd_omp-t1-r1-4000x3000.png,2026-09-19T18:11:12Z,4000x3000.png,Gaussian_11x11,3990,2990,SoA,End_to_End,1,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -DOMP_EXPLICIT_SIMD=1,6232.575818,1e8adb9534bf99dc,passed
