Schedule,Thread,Mean_Rows,Rows_div_300,Mean_Work_ms,Work_div_Schedule_Mean
static,0,300.0,1.0,3.84302375,0.7995371659202489
static,1,300.0,1.0,4.6322765,0.9637403944144165
static,2,300.0,1.0,4.54688025,0.9459737918257084
static,3,300.0,1.0,4.6196615,0.9611158565493868
static,4,300.0,1.0,4.603045083333334,0.9576588280339069
static,5,300.0,1.0,4.615759166666667,0.9603039800852329
static,6,300.0,1.0,4.59974175,0.9569715729079338
static,7,300.0,1.0,4.447511666666666,0.9253002595583515
static,8,300.0,1.0,4.658066333333333,0.969105942897662
static,9,300.0,1.0,4.577437916666667,0.9523312831640854
static,10,300.0,1.0,5.05977375,1.0526807606309148
static,11,300.0,1.0,5.091979416666667,1.0593811166860234
static,12,300.0,1.0,5.062502,1.0532483702567783
static,13,300.0,1.0,5.089184333333333,1.0587996024534234
static,14,300.0,1.0,5.0728645000000006,1.0554042777975132
static,15,300.0,1.0,5.135081333333333,1.0683484264241943
static,16,300.0,1.0,5.106272416666666,1.0623547607371426
static,17,300.0,1.0,5.144572666666666,1.0703230886297395
static,18,300.0,1.0,5.1063773333333335,1.062376588542481
static,19,300.0,1.0,5.119198083333333,1.0650439324848575
"static,1",0,300.0,1.0,3.837908083333333,0.8463740320420724
"static,1",1,300.0,1.0,4.393122583333334,0.9688155092243724
"static,1",2,300.0,1.0,4.36269975,0.9621063605018441
"static,1",3,300.0,1.0,4.3853885833333335,0.9671099298770609
"static,1",4,300.0,1.0,4.354262666666666,0.9602457301572771
"static,1",5,300.0,1.0,4.38004725,0.9659320054110095
"static,1",6,300.0,1.0,4.387122583333333,0.9674923289704457
"static,1",7,300.0,1.0,4.26587475,0.9407535391541014
"static,1",8,300.0,1.0,4.310876833333333,0.9506778504961401
"static,1",9,300.0,1.0,4.360552083333333,0.9616327354809523
"static,1",10,300.0,1.0,4.7971200000000005,1.057909076619496
"static,1",11,300.0,1.0,4.773790666666667,1.0527642577521725
"static,1",12,300.0,1.0,4.761430916666667,1.050038561561594
"static,1",13,300.0,1.0,4.74674,1.0467987730873578
"static,1",14,300.0,1.0,4.746344,1.0467114431905986
"static,1",15,300.0,1.0,4.744769333333333,1.046364181883957
"static,1",16,300.0,1.0,4.750481916666667,1.04762397812822
"static,1",17,300.0,1.0,4.772241833333333,1.052422693471624
"static,1",18,300.0,1.0,4.7634479999999995,1.0504833890344591
