Operation,"dynamic,1","dynamic,16"
Adjust_Brightness,1.129166494714598,1.1063274059748363
Adjust_Contrast,1.1565426411804185,1.1240544792954612
Equalize_Histogram,1.1007801151404735,1.114147968769819
Flip_Horizontal,1.1358689058378475,1.0596905074077307
Flip_Vertical,1.0398262967477225,1.0749032309589852
Gaussian_11x11,0.9964695200598175,0.9598440845904934
Gaussian_3x3,0.8606422155446325,0.9449491387932659
Gaussian_5x5,0.9302880978997518,0.9491842980759365
Gaussian_7x7,0.9851761442238955,0.955659735135187
Gaussian_9x9,0.9925839858112987,0.958269113811469
Grayscale,0.9996871202756611,0.9887046620925319
Negative,1.1158318352404675,1.1133193842227738
Quantize,1.1340250842010258,1.105275319749144
Rotate_CCW,0.6271260834877034,1.0550449902572419
Rotate_CW,0.6484747603601623,1.064994745717962
Zoom_In,0.3583265691458318,0.8986091954566405
Zoom_Out,0.8243849267638542,0.8811693477981546
