Image,Simd,Chunk,Static_median_ms,Static_min_ms,Static_max_ms,Dynamic_median_ms,Dynamic_min_ms,Dynamic_max_ms,Speedup_static_over_dynamic
firework.jpg,omp,16,4039.976797,4026.48058,4077.095143,3142.338587,3139.80462,3145.397109,1.2856592900948263
firework.jpg,omp,64,4039.976797,4026.48058,4077.095143,3207.605356,3205.189139,3244.08042,1.259499330066588
firework.jpg,omp,256,4039.976797,4026.48058,4077.095143,3713.841763,3704.730397,3723.866979,1.0878160823245608
rain_paisage.jpg,off,1,4305.432312,4303.196855,4312.648559,3168.359292,3165.293697,3183.471894,1.3588838623419606
rain_paisage.jpg,off,4,4305.432312,4303.196855,4312.648559,3166.479414,3164.404658,3168.612166,1.3596906055868645
rain_paisage.jpg,off,16,4305.432312,4303.196855,4312.648559,3182.262794,3175.897948,3207.477521,1.3529468151146036
rain_paisage.jpg,off,64,4305.432312,4303.196855,4312.648559,3213.674893,3208.525565,3219.690856,1.3397224222581
rain_paisage.jpg,off,256,4305.432312,4303.196855,4312.648559,3585.578745,3567.59356,3598.169592,1.2007635637632608
rain_paisage.jpg,omp,1,4380.327372,4376.699857,4594.665854,3241.540151,3232.684067,3252.311762,1.351310540037176
rain_paisage.jpg,omp,4,4380.327372,4376.699857,4594.665854,3234.326026,3230.861607,3246.690586,1.3543246218184435
rain_paisage.jpg,omp,16,4380.327372,4376.699857,4594.665854,3233.28408,3229.684144,3246.252031,1.3547610613911785
rain_paisage.jpg,omp,64,4380.327372,4376.699857,4594.665854,3275.662487,3273.853639,3336.886975,1.3372340372013423
rain_paisage.jpg,omp,256,4380.327372,4376.699857,4594.665854,3642.914631,3637.851835,3647.022723,1.2024238324787688
sky.jpg,off,1,1105.695487,1104.763419,1245.898769,1041.18457,1040.831415,1044.959657,1.0619591558103862
sky.jpg,off,4,1105.695487,1104.763419,1245.898769,1042.856759,1042.217745,1044.744186,1.0602563366998323
sky.jpg,off,16,1105.695487,1104.763419,1245.898769,1042.988767,1042.061187,1052.342012,1.060122143194664
sky.jpg,off,64,1105.695487,1104.763419,1245.898769,1130.400508,1128.011331,1142.852513,0.9781448957027539
sky.jpg,off,256,1105.695487,1104.763419,1245.898769,1190.752338,1185.953202,1207.149469,0.9285688146177715
sky.jpg,omp,1,1131.300089,1129.598847,1153.187236,1068.189542,1066.59465,1085.011143,1.0590817870036777
sky.jpg,omp,4,1131.300089,1129.598847,1153.187236,1068.999176,1067.725552,1071.746434,1.0582796641931183
sky.jpg,omp,16,1131.300089,1129.598847,1153.187236,1069.611307,1067.699704,1087.207499,1.0576740182123001
sky.jpg,omp,64,1131.300089,1129.598847,1153.187236,1157.180304,1156.730107,1166.493669,0.977635105859873
sky.jpg,omp,256,1131.300089,1129.598847,1153.187236,1235.9944,1219.418731,1294.07544,0.9152954811122122
stars.jpg,off,1,1791.063435,1769.360473,2046.913137,1643.772979,1641.367129,1650.591443,1.0896051084192935
stars.jpg,off,4,1791.063435,1769.360473,2046.913137,1649.685587,1646.433769,1651.986196,1.085699874639203
stars.jpg,off,16,1791.063435,1769.360473,2046.913137,1661.321375,1646.5897,1670.640841,1.0780957025849378
stars.jpg,off,64,1791.063435,1769.360473,2046.913137,1711.32192,1707.396454,1819.897466,1.046596443409081
stars.jpg,off,256,1791.063435,1769.360473,2046.913137,1998.497333,1990.911069,2044.239818,0.896205066389248
stars.jpg,omp,1,1814.652876,1814.125745,1826.490046,1689.899559,1689.320446,1694.21402,1.073822918253096
stars.jpg,omp,4,1814.652876,1814.125745,1826.490046,1694.662224,1690.908137,1695.915025,1.0708050550137242
stars.jpg,omp,16,1814.652876,1814.125745,1826.490046,1693.04583,1692.065677,1710.118801,1.07182737988847
stars.jpg,omp,64,1814.652876,1814.125745,1826.490046,1756.363732,1755.49593,1788.617686,1.033187399021059
stars.jpg,omp,256,1814.652876,1814.125745,1826.490046,2057.595925,2024.201966,2066.006762,0.8819286886952792
