Image,Threads,Schedule,Chunk,Simd,Total_median_ms,Operations
6000x6000.png,16,dynamic,16,off,2073.125543,17
6000x6000.png,16,dynamic,16,off-avx2,2071.057072,17
6000x6000.png,16,dynamic,16,omp,2078.411548,17
6000x6000.png,16,dynamic,16,omp-avx2,2073.813802,17
6000x6000.png,16,static,,off,2025.10935,17
6000x6000.png,16,static,,off-avx2,2023.6722419999999,17
6000x6000.png,16,static,,omp,2031.3777910000001,17
6000x6000.png,16,static,,omp-avx2,2021.151941,17
6000x6000.png,2,dynamic,1,off,13709.457756,17
6000x6000.png,2,dynamic,1,off-avx2,13692.857934,17
6000x6000.png,2,dynamic,1,omp,13720.640098,17
6000x6000.png,2,dynamic,1,omp-avx2,13670.141273,17
6000x6000.png,2,dynamic,16,off,13601.719004,17
6000x6000.png,2,dynamic,16,off-avx2,13574.347182,17
6000x6000.png,2,dynamic,16,omp,13611.560575,17
6000x6000.png,2,dynamic,16,omp-avx2,13570.671273,17
6000x6000.png,2,static,,off,13598.711095,17
6000x6000.png,2,static,,off-avx2,13560.79035,17
6000x6000.png,2,static,,omp,13584.901654,17
6000x6000.png,2,static,,omp-avx2,13537.321198,17
6000x6000.png,20,dynamic,1,off,1783.375185,17
6000x6000.png,20,dynamic,1,off-avx2,1788.370348,17
6000x6000.png,20,dynamic,1,omp,1789.131836,17
6000x6000.png,20,dynamic,1,omp-avx2,1781.892537,17
6000x6000.png,20,dynamic,16,off,1681.27933,17
6000x6000.png,20,dynamic,16,off-avx2,1674.639065,17
6000x6000.png,20,dynamic,16,omp,1682.4032419999999,17
6000x6000.png,20,dynamic,16,omp-avx2,1678.533095,17
6000x6000.png,20,static,,off,1640.959504,17
6000x6000.png,20,static,,off-avx2,1646.181561,17
6000x6000.png,20,static,,omp,1650.162697,17
6000x6000.png,20,static,,omp-avx2,1638.757235,17
6000x6000.png,4,dynamic,1,off,7103.167241,17
6000x6000.png,4,dynamic,1,off-avx2,7098.157648,17
6000x6000.png,4,dynamic,1,omp,7120.799892999999,17
