Operation,Comparisons,Geometric_mean_speedup
Zoom_In,42,1.1194821898170415
Negative,42,1.0380571044757299
Gaussian_3x3,42,1.0212417679359793
Equalize_Histogram,42,1.0116722653278116
Adjust_Contrast,42,1.0065686308028103
Quantize,42,1.0050836709116253
Gaussian_11x11,42,0.9976346722368243
Gaussian_5x5,42,0.9962025068409485
Gaussian_9x9,42,0.9957735284931254
Gaussian_7x7,42,0.9956412759966282
Adjust_Brightness,42,0.9675475822386261
Grayscale,42,0.9663042509571566
