Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0x315b7 in gaussian_11_planar._omp_fn.0]	655500000	598000000	2162000000	0	31500945	21000630	0	0	0	0	0	0	0	140000210	0	0	0	770001155	420000630	280000420	2310003465	2240003360	0	402512075	304509135	0	0	0	0	layout_benchmark	[Loop@0x315b7 in gaussian_11_planar._omp_fn.0]	[Unknown]	0x315b7
[Loop@0x1f620 in func@0x1f5fd]	632500000	529000000	322000000	0	24500735	21000630	560000840	70000105	70000105	0	0	0	0	70000105	0	0	140000210	420000630	210000315	0	630000945	630000945	0	42001260	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f620 in func@0x1f5fd]	[Unknown]	0x1f620
[Loop@0x31137 in gaussian_11_aos._omp_fn.0]	494500000	563500000	1541000000	0	10500315	17500525	0	0	0	0	0	0	0	0	0	0	0	490000735	630000945	280000420	1610002415	1680002520	0	136504095	280008400	0	0	0	0	layout_benchmark	[Loop@0x31137 in gaussian_11_aos._omp_fn.0]	[Unknown]	0x31137
[Loop@0x156c0 in stbi__parse_zlib]	448500000	322000000	460000000	0	7000210	14000420	210000315	70000105	70000105	70000105	0	0	0	140000210	0	0	0	350000525	280000420	140000210	980001470	280000420	0	108503255	94502835	0	0	0	0	layout_benchmark	[Loop@0x156c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x156c0
[Loop@0x13ce8 in stbi__create_png_image_raw]	437000000	345000000	1276500000	0	17500525	17500525	0	0	70000105	0	0	0	0	140000210	0	0	0	490000735	420000630	490000735	1400002100	1470002205	0	514515435	168005040	0	0	0	0	layout_benchmark	[Loop@0x13ce8 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x13ce8
[Loop@0x30e80 in soa_to_aos._omp_fn.0]	310500000	310500000	954500000	0	3500105	7000210	70000105	0	0	0	0	0	0	70000105	70000105	70000105	0	210000315	140000210	140000210	490000735	770001155	0	724521735	329009870	0	0	0	0	layout_benchmark	[Loop@0x30e80 in soa_to_aos._omp_fn.0]	[Unknown]	0x30e80
[Loop@0x308c0 in aos_to_soa._omp_fn.0]	276000000	287500000	471500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140000210	560000840	770001155	2170003255	1890002835	0	150504515	10500315	0	0	0	0	layout_benchmark	[Loop@0x308c0 in aos_to_soa._omp_fn.0]	[Unknown]	0x308c0
func@0x3300	218500000	149500000	713000000	0	3500105	14000420	0	0	0	0	0	0	0	0	0	0	0	350000525	140000210	350000525	630000945	490000735	0	217006510	35001050	0	0	0	0	layout_benchmark	func@0x3300	[Unknown]	0x3300
[Loop@0x12c70 in stbi__convert_format]	161000000	115000000	356500000	0	0	0	0	0	0	0	0	0	0	70000105	0	70000105	0	140000210	210000315	140000210	560000840	490000735	0	157504725	157504725	0	0	0	0	layout_benchmark	[Loop@0x12c70 in stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)]	[Unknown]	0x12c70
[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	115000000	80500000	23000000	70000105	3500105	3500105	280000420	140000210	140000210	0	0	0	0	70000105	70000105	70000105	0	70000105	0	0	0	0	0	7000210	3500105	0	0	0	0	libc.so.6	[Loop@0x152f85 in __memcpy_avx_unaligned_erms]	[Unknown]	0x152f85
