Function	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_PENDING	Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK	Hardware Event Count:CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	Hardware Event Count:CYCLE_ACTIVITY.STALLS_LDM_PENDING	Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_PENDING	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CORE	Hardware Event Count:INT_MISC.RECOVERY_CYCLES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=6	Hardware Event Count:RESOURCE_STALLS.SB	Hardware Event Count:RS_EVENTS.EMPTY_CYCLES	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=1	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=2	Hardware Event Count:UOPS_EXECUTED.CORE:cmask=3	Hardware Event Count:UOPS_ISSUED.ANY	Hardware Event Count:UOPS_RETIRED.RETIRE_SLOTS	Hardware Event Count:IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS_PS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	Hardware Event Count:MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	Module	Function (Full)	Source File	Start Address
[Loop@0xe850 in flip_horizontal._omp_fn.0]	200870500000	177652000000	700350000000	3150004725	6216186480	6128683855	10500015750	7420011130	6300009450	44170066255	0	0	0	84490126735	10430015645	280000420	2100003150	204680307020	198800298200	179270268905	735771103655	725131087695	770001155	147987939505	109752792485	0	0	0	0	flip_profile_runner	[Loop@0xe850 in flip_horizontal._omp_fn.0]	[Unknown]	0xe850
[Loop@0x20198 in stbi__parse_zlib]	2254000000	1771000000	4220500000	0	56001680	63001890	560000840	210000315	70000105	210000315	140000210	0	0	420000630	70000105	0	140000210	2030003045	1540002310	910001365	5670008505	3570005355	0	707021210	490014700	0	0	0	0	flip_profile_runner	[Loop@0x20198 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x20198
clear_page_erms	690000000	483000000	11500000	0	38501155	35001050	1330001995	0	0	0	0	0	0	0	0	350000525	420000630	70000105	0	0	140000210	140000210	0	0	49001470	0	0	0	0	vmlinux	clear_page_erms	[Unknown]	0xffffffff84deb980
func@0xe704	529000000	655500000	126500000	0	28000840	28000840	980001470	490000735	210000315	70000105	0	0	0	140000210	0	0	70000105	0	70000105	0	0	140000210	0	38501155	0	0	0	0	0	libgomp.so.1.0.0	func@0xe704	[Unknown]	0xe704
GOMP_loop_maybe_nonmonotonic_runtime_next	448500000	299000000	333500000	140000210	17500525	17500525	210000315	70000105	140000210	140000210	0	0	0	140000210	0	0	0	140000210	210000315	140000210	560000840	280000420	0	31500945	0	0	0	0	0	libgomp.so.1.0.0	GOMP_loop_maybe_nonmonotonic_runtime_next	[Unknown]	0xffe0
[Loop@0x205c0 in stbi__parse_zlib]	448500000	345000000	425500000	0	7000210	10500315	140000210	210000315	0	350000525	0	0	0	140000210	0	0	70000105	140000210	140000210	210000315	910001365	630000945	0	91002730	108503255	0	0	0	0	flip_profile_runner	[Loop@0x205c0 in stbi__parse_zlib(stbi__zbuf*, int)]	[Unknown]	0x205c0
[Loop@0x1dd60 in stbi__create_png_image_raw]	402500000	276000000	1288000000	0	17500525	14000420	0	0	0	0	0	0	0	210000315	0	0	0	490000735	490000735	350000525	980001470	700001050	0	248507455	91002730	0	0	0	0	flip_profile_runner	[Loop@0x1dd60 in stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)]	[Unknown]	0x1dd60
[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	230000000	149500000	701500000	0	0	10500315	0	280000420	70000105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	flip_profile_runner	[Loop@0xd438 in flip_horizontal_profiled._omp_fn.0]	[Unknown]	0xd438
[Loop@0x1f7d8 in func@0x1f784]	172500000	299000000	138000000	0	3500105	28000840	0	0	0	0	0	0	0	0	0	0	210000315	210000315	0	0	70000105	210000315	0	10500315	0	0	0	0	0	libgomp.so.1.0.0	[Loop@0x1f7d8 in func@0x1f784]	[Unknown]	0x1f7d8
task_tick_fair	115000000	23000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000105	0	0	0	0	0	70000105	7000210	0	0	0	0	0	vmlinux	task_tick_fair	[Unknown]	0xffffffff844ec9b0
