Thread,Rows,Work_ms,Init_Mode,Control_ms
0,300,3.79441,parallel-static,4.56831
1,300,3.79188,parallel-static,4.56831
2,300,4.53406,parallel-static,4.56831
3,300,3.78321,parallel-static,4.56831
4,300,4.51258,parallel-static,4.56831
5,300,3.78349,parallel-static,4.56831
6,300,3.78347,parallel-static,4.56831
7,300,4.50224,parallel-static,4.56831
8,300,3.78316,parallel-static,4.56831
9,300,3.78697,parallel-static,4.56831
10,300,3.79611,parallel-static,4.56831
11,300,3.79631,parallel-static,4.56831
12,300,3.79663,parallel-static,4.56831
13,300,3.79626,parallel-static,4.56831
14,300,3.79633,parallel-static,4.56831
15,300,3.79651,parallel-static,4.56831
16,300,3.79626,parallel-static,4.56831
17,300,3.7962,parallel-static,4.56831
18,300,3.7964,parallel-static,4.56831
19,300,3.79639,parallel-static,4.56831
