Image,Operation,Width,Height,Layout,Phase,Threads,Schedule,Chunk,Simd_Build,OMP_Places,OMP_Proc_Bind,Hostname,Compiler,Build_Flags,Samples,Median_ms,Min_ms,Max_ms,Mean_ms,StdDev_ms
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,1,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,3058.341720,3058.047364,3059.169352,3058.476283,0.422977
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,1,static,,off-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,5,3054.330441,3054.081777,3055.613162,3054.514176,0.624079
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,1,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1,5,3060.048799,3058.665736,3065.997466,3060.807094,2.985658
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,1,static,,omp-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1 -march=haswell,5,3054.912861,3053.934223,3064.185870,3056.708213,4.291215
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,12,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,294.458567,294.220784,312.334354,298.019720,8.004570
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,12,static,,off-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,5,293.998343,293.760659,294.540747,294.111297,0.348082
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,12,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1,5,294.797349,294.691109,298.437110,295.500409,1.643186
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,12,static,,omp-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1 -march=haswell,5,294.291375,294.244683,294.411470,294.307116,0.062252
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,16,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,220.970470,220.854278,221.267791,221.032062,0.162383
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,16,static,,off-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,5,220.457586,220.346872,220.976037,220.541215,0.249614
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,16,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1,5,221.041244,220.836728,224.080791,221.711196,1.363433
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,16,static,,omp-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1 -march=haswell,5,220.529135,220.365945,220.899291,220.619204,0.249795
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,2,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,1532.016753,1530.687852,1536.108061,1532.414547,2.152103
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,2,static,,off-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,5,1530.311506,1528.702123,1534.485583,1530.919642,2.175793
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,2,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1,5,1531.854280,1530.319628,1538.683354,1532.694143,3.422232
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,2,static,,omp-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1 -march=haswell,5,1528.698279,1528.399029,1529.415658,1528.805294,0.375822
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,20,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,177.375476,177.240512,177.493737,177.358120,0.095475
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,20,static,,off-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,5,177.207452,177.045679,180.059348,178.216521,1.516445
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,20,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1,5,177.500552,177.324799,181.600782,178.272193,1.862800
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,20,static,,omp-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1 -march=haswell,5,176.987048,176.892896,177.164329,177.027382,0.128688
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,4,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,768.424405,766.148002,772.435196,769.178335,3.008555
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,4,static,,off-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,5,771.214539,764.280778,774.347843,770.295326,3.795744
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,4,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1,5,765.648944,765.022709,774.270193,768.272845,4.277322
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,4,static,,omp-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1 -march=haswell,5,779.374407,767.733521,817.276330,783.510018,20.207817
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,8,static,,off,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize,5,425.829912,425.141110,428.192721,426.509296,1.341090
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,8,static,,off-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=0 -fno-tree-vectorize -march=haswell,5,426.233060,424.706133,427.726746,426.481032,1.238088
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,8,static,,omp,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1,5,428.462640,425.698217,430.316520,428.055382,1.730913
4000x3000.png,Gaussian_11x11,3990,2990,AoS_Naive,Kernel,8,static,,omp-avx2,,,hype1,g++,-O3 -Wall -Wextra -std=c++17 -fopenmp -ffp-contract=off -DOMP_EXPLICIT_SIMD=1 -march=haswell,5,427.682968,424.422624,427.982786,426.808433,1.519753
